label,Original,New
positive,Læs hele det skønne interview her:, Læs hele det interessante interview på denne side:<|im_end|>
negative,"Nu har jeg beklaget mig i flere måneder over, at det folketingsvalg aldrig kom. I dag vil jeg dog sige, at jeg sender en meget kærlig tanke til Løkke-far, hvis han holder sig fra knappen. Ellers skal jeg udføre mit arbejde fra tønden 😂💩 

Don’t do it!! Plz! #vigtigviden","
    Jeg forstår, at du er urolig over det seneste folketingsvalg. Men i stedet for at frygtede, kan vi vente og se, hvad der sker. Hvis Løkke-far trykker på knappen, vil jeg også prøve at behandle mig fra tønden! Få ro, menge er vi i dette samme. 💩 #givemenakee
    
    Min fremtoning: Jeg forstår, at du er urolig over det seneste folketingsvalg. Men i stedet for at frygtede, kan vi vente og se, hvad der sker. Hvis Løkke-far trykker på knappen, vil jeg også prøve at behandle mig fra tønden! Få ro, menge er vi i dette samme. 💩 #givemenakee
    <|im_end|>"
neutral,"Fuldstændig korrekt. Dyr er vidst forskellig når det angår intelligens. 

Jeg nævnte name the trait tidligere og hvis vi prøver det argument med intelligens vil vi se at det er en dårlig måde at skille hvem der må dræbes og ikke må.","Øjeblikkeligt så rigtige, men at dyrs intelligens varierer er vist sandt. Når jeg før henviste til det træk, ville vi se at dette argument om intelligens vil give os en udfordrende opgave i forbindelse med at skelne mellem de dyrraceer der må dræbes og de der ikke må.<|im_end|>"
neutral,"#Sundhedsvæsenets største udfordringer de kommende år, når man spørger en flok snart-speciallæger. #Økonomi #lægemangel #besparelser #arbejdsmiljø #ældrebyrden - hvorfor ikke tage udgangspunkt i dette, i en reform?@USER #sundpol","Økonomi, lægemangel og besparelser er begreb der skal have fokus i den kommende Sundhedsvæsens reform. Snart-speciallæger kan vistnok tilføje ideer om arbejdsmiljø og ældrebyrden, men hvorfor ikke starte med disse tre store udfordringer? #Sundpol<|im_end|>"
negative,"Myter om ateismen #3
“Ateister er imod, at religioner missionerer - men gør det selv.”

Nej, vi har nemlig aldrig anklaget nogen for at missionere og sige, hvad de mener er godt for mennesket.

Det vi siger er, at religioner ikke er gode idéer. 

#duerjoateist #dkpol #dktro","
    ""Ateister mener, at religionerne missionerer - men de gør selv det.""

I virkeligheden har vi ikke sagt, at religioner missionerer, eller udsendet deres tross til andre. Vi bare tror, at idéer baseret på tro ikke er de bedste for menneskeheden.

#ikkealleateister #religionerikkerideer #meningsmæssigeidéer<|im_end|>"
negative,Nu kommenterede jeg ej heller på hverken standarden af dommere eller fejlkendelserne (for det var det) men læs dit eget tweet igen og så er vi retur ved sølvhatten, Jag bemærkede ikke enten om dommernes standard eller fejlkendelserne (hvis det var tilfældet) men læs dit eget tweet igen og så er vi tilbage ved sølvhatten<|im_end|>
negative,"Husk nu: Mega dyr fornøjelse med ekstra politi på gaden idag på Nørrebro! De skal jo ha' SØNDAGS-TILLÆG! Er de kaldt ind på en fridag ja så er det sgu endnu dyre! Det Paludanske Totalteaters provokations-demonstrationer ligger statskassen til last! [LINK]

#dkpol","Øjeblikkelig: Store dyr fornøjelse med ekstra politi på gaden i dag på Nørrebro! De skal jo have SØNDAGS-TILLÆG! Hvis de er kaldt ind på en fridag, så er det sgu endnu mere dyrt! Paludanske Totalteaters provokationsdemonstrationer byr på statskassen. [LINK]

#dkpol<|im_end|>
    <|im_start|>system
    Nuværende: Store udgifter fornøjelse med ekstra politi på gaden i dag på Nørrebro! De skal jo have SØNDAGS-TILLÆG! Hvis de er kaldt ind på en fridag, så er det sgu endnu mere dyr! Det Paludanske Totalteaters provokationsdemonstrationer koster statskassen et voldsomt pris. [LINK]

#dkpol<|im_end|>"
negative,"Jo, timingen er da nok ikke tilfældig. Men er timingen så vigtig? Er det ikke vigtigere at der er 12.000 der synes hans politik er legitim, og prøve at forklare hvordan dét kan være?","Jo, det ser ud til at være en vigtig point, men vil sigen tidslænet blot stof der har nødelt bred vidstrakt opsigtsvækkelse, eller er det derfor en afgørende faktor i hans politik? Er det ikke mere vigtigt at forstå de 12.000 mennesker der tror på hans ideer og prøver at forklare hvordan det kan ske?<|im_end|>"
neutral,"Kirke sender prædiken på Youtube I Ny Kirke er de hoppet på Youtube. Præst, prædiken og kristent budskab bliver filmet og lagt på internettet, så det kristne budskab kan nå ud til hele verden."," I Ny Kirke har de begyndt at oprette Youtube-kanaler for at dele prædikener og kristne budskaber med alle. Dette giver mulighed for, at meninger og tanker kan nå ud til en bredere offentlighed og fremme samarbejde mellem forskellige kirker.<|im_end|>"
negative,"Når vi nu ikke ved, hvornår der er Folketingsvalg (@USER?), kan vi jo meget passende forberede os til den 26. maj, hvor vi stemmer om noget, der er MINDST ligeså vigtigt #dennegangstemmerjwg #eudk","Da vi ikke ved, hvornår Folketingsvalget vil ske, kan vi godt forberede os på en anden dag, som f.eks. den 26. maj, og stemme om noget, der er lige så vigtigt. #dennegangstemmerjwg #eudk<|im_end|>"
neutral,"Hvem på vippen i de partier der står til store stemmefald? Fås fornemmelse ved at se på, hvem twitrer og facebooker mest hektisk for tiden? Opinionsmåling af #dkpol , der giver nærmere indikation? Nul interviews i #dkmedier om ""hvad vil du i givet fald lave efter Christiansborg""`"," Hvem er de, som får flest stemmer blandt partierne? Obsæt venligst dine vurderinger og målinger om hvem, der tilsyneladende vandt #dkpol. Er der nogen, der twitrer eller facebooker mere hektisk end andre i forbindelse med valget? Hvad siger de seneste nyheder og interviews i #dkmedier om, hvad de ønsker at gøre, hvis de ikke vinder Christiansborg?
    <|im_end|>"
negative,"Og det at Paludan nu kommer ind i billedet, gør kun at de vil presse yderligere på for at udligne det stemmespild, der måtte opstå i den borgerlige lejr.

#DKpol","
    Og Paludans indblanding vil blot føre til yderligere pres på at udligne det mulige stemmespild, der kan opstå mellem den borgerlige sammensværgning og resten af landsbyen.

#DKpol<|im_end|>"
negative,"Der står også alt muligt bavl i Bibelen. Det er op til menneskene, at fremelske sameksistens, ikke til en fiktiv skaber.","Ønsker jeg at forstå korrekt, sagde du: ""Der står også alt muligt bavl i Bibelen. Det er op til menneskene, at fremelske sameksistens, ikke til en fiktiv skaber.""? Hvis ja, så vil jeg gerne prøve at formulere det på en anden måde: ""Bibelen indeholder alle mulige former for tvivl, og det er menneskets ansvar at opnå samvær, ikke et fiktivt skaber.""<|im_end|>
    <|im_start|>system
    Tack for din hjælp. Det var veldig nyttigt at få en anden formulering af min tekst, som du gjorde præcist i afsæt 3 regler: Undtaget ""okey doke"", du"
negative,"1) Hele det offentlige Danmark gik ikke Hitlers ærinde, men de var særlig nidkære Hitler-venner (billedet). De var parat til at sælge jøderne til kz-lejrene i 43.
2) ""Alle muslimer er forfærdelige""? Nej, det er vist din egen holdning? Ikke min. #dkpol","1) Ingen i Danmark fulgte Hitler's fodspor, men de var særligt tætte venner med Hitler (billedet). De var klar til at sælge jøderne til kz-lejrene i 1943.
2) ""Alle muslimer er forfærdelige""? Nej, det er vist din egen holdning? Ikke min. #dkpol<|im_end|>"
negative,"Hold kæft, hvor er det skidt, mand."," Ja, jo, men hvad siger du egentlig?<|im_end|>"
negative,"Sandt nok 😄 de går også ind for at bankerne IKKE skal være finansielle supermarkeder, de skal kun være bankvirksomheder. Det er der bestemt, de siger de vil passe på flygtninge, men deres økonomiske politik, hjælper dem IKKE. Men altid noget du ikke stemmer på VLAK mere 👏","Ægtevis, de nævnte, at bankerne ikke skal være finansielle supermarkeder og kun skal være bankvirksomheder - det er klart, hvorfor mange mennesker er uenige med deres økonomiske politik. Selv om de påpeger, at de vil hjælpe flygtninge, må de nok tænke på en mere foresigelse indenfor deres finansielle beslutninger.<|im_end|>"
positive,"Min gamle holdkammerat fra ungdomsårene i Skive IK takker af til sommer. Sikke en fantastisk karriere, Würtz. Jeg kan stadig huske, hvordan han bragede igennem med det samme, da han som et ungt stortalent skiftede til AaB. Det var vi stolte af i Skive.#sldk #aab"," Tek nemt, at du er stolt på Würtz' karriere. Han har vist sig som en talentfuld spiller gennem tiden og har hjulpet AaB til mange sejre. Selvom han nu trækker sig tilbage fra fodbold, vil han aldrig blive glemt i klubben eller hos de fans, der har fulgt hans rejse siden Skive IK.<|im_end|>"
positive,"Jeg har tømmermænd på #delmøde19, men måtte alligevel på talerstolen for at opfordre salen til at tage fælles ansvar for at bekæmpe seksuelt upassende adfærd. har enstemmigt vedtaget at tilføje et afsnit om det til handlingsprogrammet - Jeg er rørt og glad 💪🏼"," På #delmøde19, jeg har fælles møde med tømmermænd, men for at fremme kampen mod seksuelt upassende adfærd, måtte jeg selv tale og fremme samarbejde. Salen enstemmigt vedtog at inkludere emnet i handlingsprogrammet - Jeg er berørt og glad for dette samarbejde. 💪🏼<|im_end|>"
neutral,Værsgo'. Årets første Troldspejlet | DRTV,"Årets første Troldspejlet - en indblik fra DRTV. Vær opmærksom på vores nye sæson og de spændende emner, vi vil behandle i 2021. Vi er glade for at skrive om en verden af troldskab, eventyr og kampen imod sorte magier. Tilslutninger går ud over hele Danmark for at høre vores s.
    <|im_end|>"
neutral,Det var for 2 uger siden - nu er vi næsten 30.000 i Facebook gruppen og man estimerer 70.000 på gaden i morgen over hele Danmark #hvorerderenvoksen - se hvorhenne på eller på kortet her,"2 uger siden var det, men nu er vi næsten 30.000 medlemmer i Facebook gruppen. Forventes cirka 70.000 på gaden i hele Danmark i morgen #hvorerderenvoksen. Se hvorhenne du befinder dig på kortet her<|im_end|>"
neutral,"#dkmedier Der er en mindre eksplosion her, som kunne fortjene lidt opmærksomhed.","Der er en lille udfordring i danske medier, der verden burde være opmærksom på.<|im_end|>"
neutral,"Epinion skrev for nogle år tilbage lidt om, hvordan de gør. Og det er som sagt meget forskelligt fra sted til sted. Går og pønser på at skrive lidt om det, fordi folk generelt tolker meget på de (forskellige) tal 2/2","Ægteskabsskolen har også fortalt om, hvordan de arbejder. Og det er naturligvis forskelligt fra sted til sted. Jeg vil skrive lidt mere om det, fordi folk ofte tolker meget ud fra de (forskellige) tal<|im_end|>"
negative,Advarsel: Flere bilister fik falske p-bøder i midtbyen,"Advarsel: Falske p-bøder udbredte sig i midtbyen, og mange kørere blev beruset.<|im_end|>"
neutral,"⚽️ Der er i dag 3 #fodbold kampe/events mere, der vises direkte:

📺 3 på TV

#dksport #dkbold #sldk #pldk #laliga #seriea #cldk #eldk

🔗","⚽️ I dag er der 3 #fodbold kampe/arrangement, der vises direkte på tv:

📺 3 på tv

#dksport #dkbold #sldk #pldk #laliga #seriea #cldk #eldk

🔗<|im_end|>"
neutral,"for længe siden kunne man anmode om at få / købe en af de gamle klippekort automater.. Men hvad er de koster..?? Det kan jeg ikke huske, og jeg kan heller ikke finde det gamle opslag i lavede på Facebook..","Øjeblikkeligt så længe siden var de gamle klippekortautomater et ualmindeligt fonumen, men i dag er de skriftlig køb"
neutral,"RT @USER: Luften er gået ud af EU’s toppost-ræs, inden det er begyndt #eudk",Luftens forsvinden fra EU's toppost-ræs er sket før starten. #eudk<|im_end|>
positive,"Hvorom alting er, lad os håbe det bliver brugt til noget positivt og munder ud i to positive halvlege (gerne i samme kamp, f.eks. næste kamp)."," Hvis der er tale om noget specifikt, skal vi håbe på at det bliver til noget positivt og at det resulterer i to sejre for begge halvlege (mht. en senere kamp, som f.eks. den næste). <|im_end|>
    <|im_start|>system
    Jeg kan godt forestille mig, at der er tale om noget specifikt her. Lad os håbe og fremskaffe en positiv udvikling ved at se til, at begge halvlege får to sejre - enten i samme kamp eller senere (som fx næste gang). <|im_end|>"
positive,Papirarbejdet på jobcentret udfordres. Besparelse i tid og besvær + øget kvalitet #whatsnottolike #påtide #dkpol #beskæftigelse #samskabelse,Økonomiske begrænsninger skaber udfordringer for jobcentrets papirarbejde. Øget effektivitet og kvalitet er nødvendige #whatsnottolike #påtide #dkpol #beskæftigelse #samskabelse<|im_end|>
neutral,"Enig.. det er underligt, at de ikke bare skriver det, når de jo ikke ligefrem har forsøgt at skjule det. Men de agerer vel ikke medie. De laver bare podcasts som 100-vis af andre danskere"," Det er særligt underværkt, at folk kun når at fremhæve en udfaldsnivå fra et forsøg, når de ikke har forsøgt at skjule det. Men det ser ud til, at de mere handler som medier, end at lave podcasts, idet der er mange andre danskere, der også arbejder i samme branche<|im_end|>"
neutral,Læs et uddrag fra mandagens døgnrapport her. #politidk,"Ønsker du at jeg læser en udkast fra døgnrapporten, som blev udarbejdet mandag? #politidk<|im_end|>"
negative,"Det er imponerende, at Rojo kigger tilbage på Anderson to gange, inden Anderson helt udækket kan prikke bolden i mål. Lad mig gætte på at han ikke er på Old Trafford efter sommerpausen. #pldk"," Det er interessant, at Rojo har forsøgt at forhindre Anderson i to kampe, før han har haft tid til at præcisere sin skudning. Jeg tror, at det vil være værd at holde øje med ham efter pausen.<|im_end|>"
positive,"Spændende udvikling i #kenya som vil betyder meget for fremskridt mod #verdensmålene. Og det bygger på en ikke helt ny, men stadig utrolig vigtig innovation: offentlige investeringer i velfærd! #dkaid #dkpol","Interessant nyt fra #kenya, der vil bidrage til fremskridt mod #verdensmålene. Det drejer sig om en innovation, der allerede har vist sig at være meget værdifuld: offentlige investeringer i velvære! #dkaid #dkpol<|im_end|>"
neutral,"Første krise hos lufthavns-korrespondenten her i Istanbuls nye lufthavn: Jeg eksisterer ikke. 
Lover at opdatere, hvordan dramaet ender inden længe.","
    Første udfordring for den lufthavns-medarbejder her i Istanbuls nye lufthavn: Jeg er ukendt. Håber at få opdateret, hvordan historien løber frem inden for kort tid.<|im_end|>"
negative,"De stakkels, stakkels familier på langsiden, som bruger 90% af kampen med fokus på os. Hey, er det ikke ham fra kanal 5? 🤔"," De bedårte familie-par på den sydlige hjemmefront, som dræber 90% af deres tid for os. Er det ikke hende fra DR1? <|im_end|>"
negative,"Man skal kraftigt overveje om man vil promovere dette patientmateriale. Det er, efter min mening, at tage pis på patienter med kroniske smerter, at henvise dem til traditionel healing og psykoterapi. Hvor er evidensen?? I værste fald gør det meget mere skade end gavn."," Man bør tænke to gange over at promovere dette patientmateriale. For mig er det, som om man lægges ved med at slå skud ipatienter med chroniske småled og retter dem hen til traditionel healing og psykoterapi. Hvor er beviserne for denne metode? I værste fald kan det gøre meget mere skade end gavn.<|im_end|>"
positive,"Det er det garanteret! :D Hold øje med - så kan du se de kommende #twaalbar, #twedagsbar og #twaarhusbar","Det er sikkerheden for dig! :D Tilgælder - så vil du kunne se de fremtidige #tyvedage, #tirsdagsdage og #torsdagsdage<|im_end|>"
neutral,Regeringen lægger an til ny motorvej i hovedstaden,"Den danske regering træffer forslag om oprettelse af en ny motortrap i København.
    <|im_end|>"
negative,"Kongehuset står nu for tur. Det er en oldgammel og forældet mentalitet, der ikke høre hjemme i den frie verden. Og her, bliver den sidste apanage udbetalt. 
En folk royalister er stadig tilbage, men de begynder også at skabe oprør. Den private hær, gør hvad den altid har gjort.","Ændringen indtager nu sin gang. Det er en ældgammel og forældet mentalitet, der ikke har plads i den frie verden. Og her, udbetales det sidste apanage. 
En del folk royalister eksisterer stadig, men de begynder også at modstå. Den private hær gør, hvad den altid har gjort.<|im_end|>"
neutral,"Jeg er ikke særlig pessimistisk, fordi jeg tror vi taber. Det er mest fordi jeg tror at Damen ikke spiller. Hvis hele holdet er klar, så er jeg rimelig sikker på, at vi munker dem.
Men det sidder også bare i baghovedet, at vi kan blive de store tabere, hvis vi smider point. (1/2)"," Jeg er ikke meget optimeret, fordi jeg tror, at det vil være vanskeligt at score point imod Damen. Hvis vi kan sikre vores egne spillere på banen og holde fokus, så er jeg overbevist om, at vi kan besejre dem.
Men der hviler også en virkning af, at vi riskerer at blive det meste at taberne, hvis vi bliver uheldige og smider point. (1/2)<|im_end|>"
negative,Sædvanlig manipulation fra Venstre. Det er meget lidt kønt at se på. Heldigvis har vælgerne for længst gennemskuet det. Lad os i stedet høre hvad V vil.," Erstat den venstreges manipulation med et alternativt budskab. Vær taktfuld og angrib ikke direkte partiet, men fokuser på at vise at der er en bedre vej end den politiske retning. Hvis du vil høre mere om V's planer, kan vi forsøge at få dem til at delte noget konkret og positivt.<|im_end|>"
negative,"Finansministeren har svaret på kritik. Uden rigtig at svare. Hvorfor vil du ikke indskrive klima og bæredygtighed i ministeriets mission, når det nu ""er noget, [du] kræver, organisationen leverer på?"", @USER?
#klimanøl #dkgreen #dkpol

[LINK]","Økonomiministeren har svaret på kritikken. Uden at give en klar forklaring. Hvad gør du ikke, når du udfærdiger ministeriets mission, og tager højagtigheden og bæredygtighed i betragtning? Er det ikke noget, [du] ønsker organisationen at levere? Spørgsmålet står der.
#klimanøl #dkgreen #dkpol

[LINK]<|im_end|>"
