text,type,label
Er det ikke noget med at fly kun må starte og lande fra baner der ligger i computeren?,1,neutral
Der er så mange flere grunde til at #ståafiroskilde frem for Høje-Tå #sigerdetbare,1,neutral
"Det selvfølgelig en anden side.. Der kører jeg ikke nok med dem til at kunne udtale mig. Det må dog uden lige, stadigt være et overkommeligt problem at kunne løse.. Hvis viljen er der fra DSB..",1,neutral
"Lad os snart få en #skattereform 😁😁 en reform der sætter topskatten markant op, og selskabsskatten ligeså! #dkpol Så kører det ✌️",1,negative
"Det altså lidt vildt det her!

Schweizisk højrefløjspolitiker begrunder valgnederlag i at de “druknede i en grøn bølge”!

En “bølge” der opstod efter @USER’s tale i Davos.

Ringe i vandet folkens.
Noget er sgu i gære!

#GrøntValg
#dkpol #dkgreen
[LINK]",1,positive
"RT @USER: Højesteret reddede Lual Lual fra forvaring - nu er han sigtet for tre drab

[LINK]",1,neutral
"#CentraliseringNejTak #DKPOL
Pinligt at lytte til VLAK+ DF
De har ikke styr på noget, ikke engang hvor mange ansatte der er i sundhedsvæsnet. Hvis man har udsultet regionerne i årevis, nu tilfører midler, som skal gå til nyt central Akut 113 og nyt IT system, virkelig borgernær",1,negative
Danbolig dropper samarbejde med 15 butikker efter afsløring af kritisable metoder,1,neutral
Kan se Sofie er stedfortrædende leder. Er det fordi Morten er ude at svømme. 😉,1,positive
"Som kandidat er man fri til at fokusere på hvad end man lyster.

Men mindre mudderkastning ville måske efterlade et mere troværdigt indtryk.

Eller bare 1 (en) hjertesag.

Medmindre man naturligvis ikke har nogen - så er det altid lettere at bashe andre 🤪😉",1,negative
"Der er helligdag, Det gør hun selvfølgelig i morgen. Men som sagt, det er ikke første gang.",1,negative
jaaa det er dejligt! men får jo kun bogodt fra folk hvis du slå det til ved hver enkelte person,1,positive
Ikke ombestemt ... Fundet en billigere løsning - omfartsvejen kommer stadig - bare kun til 80 mio kr. Det er stadig for 80 mio kr tåbeligheder,1,negative
"Er Nørrebro ved at gå til i en uhellig alliance mellem den yderste venstrefløj, indvandrerbander og radikale muslimer? Først da Rasmus Paludan ramte den plagede københavnske bydel, gik det galt. #Nørrebro #dkkrim #dkpol #KriminelleUdlændinge",1,negative
"Jeg ser på en udtalelse fra i går; deres spil Vampyr har solgt over 1 mil, samt deres publisher Focus Home Interactive har fornyet en kontrakt med DONTNOD. Det ser ud til, at selskabet er ved at skabe lidt momentum",1,positive
Læs et uddrag fra mandagens døgnrapport her. #politidk,1,neutral
"Ligesom din tolkning er bekvæm..
Det er hårdt at skulle se i øjnene, at dem vi troede skulle passe på os, gør det modsatte. Det er børnelærdom at poliet beskytter os, derfor svært at tro når de ikke gør.",1,negative
"Det er imponerende, at Rojo kigger tilbage på Anderson to gange, inden Anderson helt udækket kan prikke bolden i mål. Lad mig gætte på at han ikke er på Old Trafford efter sommerpausen. #pldk",1,negative
Men det er da så ugennemtænkt med den tekst ift produktet? Her kan du læse om animalske produkter i vin,1,negative
"Liverpool er selvsagt klasser bedre end Huddersfield, men Keita blir en kæmpe profil næste sæson. Sammen med Alex Oxlade-Chamberlain kan det blive en voldsom midtbane #pldk",1,positive
"Jaa, det glæder jeg mig også til! Det er en luksus at have så gode folk omkring sig 👏",1,positive
Ny rapport: Als-Fyn bro kan blive stor gevinst for Syd- og Sønderjylland,1,positive
"Hvis du har 5 DBs på banen, skal dine LBs stadig gøre rigtigt meget i kastespillet, da NFL-angrebene strækker på alle leder og kanter, og TEs og RBs er super atletiske. Nickel har været det nye base i flere år, og dårlige LBs i opdækningen har kostet dyrt de sidste par år",1,neutral
"

Jeg håber det er ventetiden værd. (Y)

God weekend.

Vh/ Michael",1,positive
"Blev gravid og aflyste i 2018: Nu vender rapper tilbage som hovednavn på Roskilde Festival,",1,neutral
"Skønne notre dame - håber det kan repareres og ikke bryder sammen. 
Ingen døde pt.",1,positive
