label,New,org_or_new
positive,"Øh, tak! Her er et link til et interview, der virkelig er værd at læse gennem. Se den for dig selv og del dit syn!
    ",0
neutral," det kan være værdt at nævne, at dyr også varierer i deres evner. Når vi diskuterer eksperimentet med at navngive egenskaber vil vi opdage, at intelligens er ikke en god måde at skelne mellem dem, der skal dræbes og dem, der ikke skal.",0
negative," #3 Om ateismen: ""Ateister mener, at religioner forsøger at indføre deres overbevisning - men selv er de ubekendt.""

Nej, vi har ikke beskyldt nogen for at missionere og fortælle, hvad de tror er gavnligt for menneskeheden.

Det vi siger, er at religioner er mærkelige ideer.

#moderneateist #dkpol #dktro",0
negative,"Øjeblikkeligt: Vild jubel over forøget politiudsending på Nørrebro i dag! Hvad går det med denne ekstra søndags-tillæg? Og hvis de bliver kaldt ind på en fredag, tørfirser dame! Farvel til statens lederafgift på Paludanske Totalteaters provokations-demonstrationer [LINK]

#dkpol",0
negative," Selvom vi ikke ved det præcise datum for næste Folketingsvalg, kan vi stadig tage gode förberedelser. Derfor vil vi forberede os sørenskiftet og stemme den 26. maj over emner, der er mindst li  ",0
neutral," Hvem er de politikere, der får størst opmærksomhed i sociale medier? Kan du se en tendens ved at se på, hvem der twitterer og facebooker mest aktivt? Er der nogen meningsmålinger af #dkpol, der giver mere klare indikationer? Hvad siger de seneste interviews i #dkmedier om, hvad de ønsker at gøre, hvis de tænker sig i Christiansborg?",0
negative,"1) Men det offentlige Danmark var ikke i lighed med Hitler, selv om nogle folk var tæt forbundet med ham (billedet). De var villige til at sende jøderne væk i 1943.
2) ""Alle muslimer er forfærdelige""? Nej, det er vist en overfatiget synsvinkel? Ingen skal tales som dig! #dkpol",0
negative,"Åh nej, hvad gør du her? Det var ikke nødvendigt at være så rå.",0
negative,"Ægte talt, bankerne bør ikke være finansielle supermarkeder, men i stedet blot bankvirksomheder. De har lovet at hjælpe med flygtninge, men deres økonomiske politik virker ikke til dette formål. Hvis du ikke er enig med dette, så er det jo ikke for første gang, VLAK",0
positive," Min gamle medspiller fra mit tidligere Skive IK fortjener ikke desto mindre hilscigen for sin succesfulde karriere. Hvad en æresbyrdig afsked til sommeren! Du har vist, at det store talent du var som ung, kunne blomstre ved AaB. Vi i Skive var stolt på dig. #sldk #aab",0
positive," Selvom jeg har fagfolk til stede ved #delmøde19, skal jeg selv tale for at fremme samarbejde mod seksuelt uanstændigt adfærd. Mødet har enstemmigt godkendt at inkludere et afsnit om emnet i handlingsprogrammet. Jeg er tåber og lykkelig 💪",0
neutral,"Årets første Troldspejlet er her, og vi er glade for at dele dette med dig. Tjek vores siden ud for nye opdateringer og nyheder om Troldspejlet.",0
neutral,"2 uger siden er det sket, men nu har vi nået op til 30.000 medlemmer i Facebook gruppen og man forventer cirka 70.000 demonstranter i hele Danmark i dag #hvorerderenvoksen - se hvor der findes mødet på kortet her",0
neutral,"
    Epinion har tidligere skrevet om deres processer og det er naturligvis forskelligt fra sted til sted. Jeg vil prøve at skrive lidt mere om emnet, da folk ofte tolker ting efter de (forskellige) tal.
    
    ",0
negative,Advarsel: Forfalskning af parkeringsbøder var en almindelig problemtype i midtbyen.,0
neutral,"For flere år siden var der mulighed for at indskyde en anmodning om at købe/få et af de gamle perforerede automater. Men hvad var prisen? Jeg kan ikke huske det, og jeg har også vanskeligt ved at finde det gamle Facebook-indlæg.",0
positive,"Ønsker vi at håbe for bedre ting, burde vi have tro værdi på dette ønske og at det bliver brugt til noget positivt. Det ville være lideligende at ønske om dette skal resultere i to positive halvlege (f.eks. i næste kamp).",0
neutral,Ønsker du at læse en udsnit fra mandagens daglige rapport? Dagens politi-nyheder. #politidk,0
