text,label
"Det er svært at sige, hvordan det frie valg vil gå.",neutral
"Jeg synes stadig, det er lidt urimeligt, men det understreger, at vi er nødt til at vise, at vi støtter iværksættere i udviklingslande, og en af de bedste måder at gøre det på er ved virkelig at opfordre til åbne markeder i hele verden.",positive
"Gennemsigtighed, klarhed, kontrol og eksempler på bedste praksis er de grundlæggende krav til alle former for udvælgelsesprocedurer i EU, og de skal også være gældende for udvælgelsen af europæiske kulturhovedstæder.",neutral
Dengang var Socialdemokraterne den største gruppe.,neutral
"Lissabontraktaten er et kompromisresultat mellem drømmen om en europæisk føderation og den frygt, der i øjeblikket ikke blot findes hos borgerne i de nye stater, men også i de lande, der har grundlagt vores Fællesskab.",neutral
Med hensyn til ændringsforslag nr. 2 og 5: Efter Kommissionens opfattelse bør den manglende iværksættelse af visse dele af det integrerede system prøves inden for rammerne af den gældende budgetdisciplin og forskrifterne for regnskabsafslutning.,neutral
Min gruppe har dog lige fra starten været kritisk over for dens mangler og især i denne sammenhæng.,negative
"Da jeg støtter alle disse foranstaltninger, og da jeg er overbevist om deres nytte og fordele, stemte jeg for vedtagelsen af denne betænkning.",positive
Vi går nu et skridt videre og tager naturligvis først fat på samtaleroaming.,neutral
Der er f.eks. behov for at undersøge modeller for konstruktion af en enkelt procedure til vurdering af ansøgninger om flygtningestatus og om subsidiær beskyttelse.,neutral
"Den bekræfter, at fællesskabsretten ikke kan anvendes i tilfælde, hvor den måtte overskride de beføjelser, den har fået af det tyske folk; den lufter endda muligheden for at forlade Unionen, hvis de tyske borgeres forfatningsmæssige rettigheder ikke respekteres.",neutral
"Fru formand, jeg håber, at det virkelig vil lykkes den polske regering, hvis tanker og hensigter, antager jeg, udtrykkes her i ambassadørens ord, at forhindre en gentagelse af den slags demonstrationer, og navnlig også, at disse monumenter for elendighed og menneskelige lidelser og tragik også for de unge vil være et varigt tegn og en varig advarsel mod, hvad en nazistisk og racistisk ideologi kan tilvejebringe.",positive
"Her er der meget, der skal gøres, men det bliver ikke gjort, hvis de politiske kræfter ikke opnår et minimum af konsensus.",negative
Dette vil ske i fuld overensstemmelse med de relevante bestemmelser i den ændrede rammeaftale.,neutral
"&#160;&#160; Hr. formand, hr. kommissær, lad mig først komme med min udtrykkelige og oprigtige tak til ordføreren.",positive
Vi deltager her beskedent som rådgivere.,neutral
Vi ser positivt på hr. Kirchners valg som argentinsk præsident og på præsident Lulas og præsident Kirchners udtalelser om Mercosurs fremtid.,positive
Specielt Østersøen er et meget følsomt hav med brakvand.,neutral
"Jeg konstaterer dog til min store tilfredshed, at den offentlige europæiske debat om grønbogen på en vis måde har dæmpet medlemsstaternes modvilje, eftersom de i nogle tilfælde ligefrem principielt var modstandere af at tage spørgsmålet om lovlig indvandring op på europæisk plan.",positive
"Hr. formand, mine damer og herrer!",neutral
