label,New,org_or_new
neutral,"Øjeblikkeligt så rigtige, men at dyrs intelligens varierer er vist sandt. Når jeg før henviste til det træk, ville vi se at dette argument om intelligens vil give os en udfordrende opgave i forbindelse med at skelne mellem de dyrraceer der må dræbes og de der ikke må.",0
neutral,"Økonomi, lægemangel og besparelser er begreb der skal have fokus i den kommende Sundhedsvæsens reform. Snart-speciallæger kan vistnok tilføje ideer om arbejdsmiljø og ældrebyrden, men hvorfor ikke starte med disse tre store udfordringer? #Sundpol",0
negative,"Jo, det ser ud til at være en vigtig point, men vil sigen tidslænet blot stof der har nødelt bred vidstrakt opsigtsvækkelse, eller er det derfor en afgørende faktor i hans politik? Er det ikke mere vigtigt at forstå de 12.000 mennesker der tror på hans ideer og prøver at forklare hvordan det kan ske?",0
negative,"Da vi ikke ved, hvornår Folketingsvalget vil ske, kan vi godt forberede os på en anden dag, som f.eks. den 26. maj, og stemme om noget, der er lige så vigtigt. #dennegangstemmerjwg #eudk",0
neutral," Hvem er de, som får flest stemmer blandt partierne? Obsæt venligst dine vurderinger og målinger om hvem, der tilsyneladende vandt #dkpol. Er der nogen, der twitrer eller facebooker mere hektisk end andre i forbindelse med valget? Hvad siger de seneste nyheder og interviews i #dkmedier om, hvad de ønsker at gøre, hvis de ikke vinder Christiansborg?
    ",0
negative,"
    Og Paludans indblanding vil blot føre til yderligere pres på at udligne det mulige stemmespild, der kan opstå mellem den borgerlige sammensværgning og resten af landsbyen.

#DKpol",0
negative,"Ægtevis, de nævnte, at bankerne ikke skal være finansielle supermarkeder og kun skal være bankvirksomheder - det er klart, hvorfor mange mennesker er uenige med deres økonomiske politik. Selv om de påpeger, at de vil hjælpe flygtninge, må de nok tænke på en mere foresigelse indenfor deres finansielle beslutninger.",0
positive," Tek nemt, at du er stolt på Würtz' karriere. Han har vist sig som en talentfuld spiller gennem tiden og har hjulpet AaB til mange sejre. Selvom han nu trækker sig tilbage fra fodbold, vil han aldrig blive glemt i klubben eller hos de fans, der har fulgt hans rejse siden Skive IK.",0
positive," På #delmøde19, jeg har fælles møde med tømmermænd, men for at fremme kampen mod seksuelt upassende adfærd, måtte jeg selv tale og fremme samarbejde. Salen enstemmigt vedtog at inkludere emnet i handlingsprogrammet - Jeg er berørt og glad for dette samarbejde. 💪🏼",0
neutral,"Årets første Troldspejlet - en indblik fra DRTV. Vær opmærksom på vores nye sæson og de spændende emner, vi vil behandle i 2021. Vi er glade for at skrive om en verden af troldskab, eventyr og kampen imod sorte magier. Tilslutninger går ud over hele Danmark for at høre vores s.
    ",0
neutral,"2 uger siden var det, men nu er vi næsten 30.000 medlemmer i Facebook gruppen. Forventes cirka 70.000 på gaden i hele Danmark i morgen #hvorerderenvoksen. Se hvorhenne du befinder dig på kortet her",0
neutral,"Ægteskabsskolen har også fortalt om, hvordan de arbejder. Og det er naturligvis forskelligt fra sted til sted. Jeg vil skrive lidt mere om det, fordi folk ofte tolker meget ud fra de (forskellige) tal",0
negative,"Advarsel: Falske p-bøder udbredte sig i midtbyen, og mange kørere blev beruset.",0
neutral,"Øjeblikkeligt så længe siden var de gamle klippekortautomater et ualmindeligt fonumen, men i dag er de skriftlig køb",0
neutral,Luftens forsvinden fra EU's toppost-ræs er sket før starten. #eudk,0
positive," Hvis der er tale om noget specifikt, skal vi håbe på at det bliver til noget positivt og at det resulterer i to sejre for begge halvlege (mht. en senere kamp, som f.eks. den næste). ",0
positive,Økonomiske begrænsninger skaber udfordringer for jobcentrets papirarbejde. Øget effektivitet og kvalitet er nødvendige #whatsnottolike #påtide #dkpol #beskæftigelse #samskabelse,0
neutral,"Ønsker du at jeg læser en udkast fra døgnrapporten, som blev udarbejdet mandag? #politidk",0
negative," De bedårte familie-par på den sydlige hjemmefront, som dræber 90% af deres tid for os. Er det ikke hende fra DR1? ",0
negative," Man bør tænke to gange over at promovere dette patientmateriale. For mig er det, som om man lægges ved med at slå skud ipatienter med chroniske småled og retter dem hen til traditionel healing og psykoterapi. Hvor er beviserne for denne metode? I værste fald kan det gøre meget mere skade end gavn.",0
neutral," Hvis data, som har leveret, er uden for deres påstand, så er det naturligt at ønske om yderligere oplysninger. I denne situation ved jeg ikke, om de er tilfredsstillende. Dette skal du vurdere.",0
positive," Frisøren opdagede tegn på kræft og sørgede for, at han fik behandling. Hun er virkelig verdens bedste!",0
positive," Jeg forstår, at du er stolt af udviklingen i forretningen på Pilestræde og erglæder dine høje ventationer til det kommende års resultat efter, at Euroinvestor bliver optaget i familien.",0
neutral,"Økonomi og asylansøgere er ikke uforenelige: 7,5% af BNP stammer fra udenlandsk arbejdskraft. Vi har behov for yderligere arbejdskraft i Danmark. Se link for at lære mere. Væksten bliver imødebragt med kvalitetssikret velfærd.",0
positive," F.C. København har glad værdi i at have Viktor Fischer som en af deres spillere. Hans mod og villfarelse gør ham til en unik figur på banen, og det er en stor ære for klubben at have ham på holdet. Han er uafhængig og har sin egen opfattelse af fodbold, hvilket giver holdet en unik profil.",0
negative,"Ikke en eneste forsvarsspiller fra FCK var god nok til at blive månedens hold i april, selvom de kun havde et mål imod. #fcklive #sldk",0
positive,"Økonomiske resultater i første kvartal skubber Royal Unibrew til højere hovedstad.
    ",0
positive," Dagens P1 Debat havde mig som deltager med om Paludan og Nørrebro-sagen. Det var knapt flere ord end det tog at sige. #dkpol

[LINK]",0
neutral,"Ørsted skrev en artikel omkring danskeres holdninger til kongehuset. En undersøgelse viste, at: ""Der er færre end spørgsmålstegn, der findes republikanere i Danmark. 82 pct. af befolkningen støtter monarkiet og kun 13 pct. ønsker at se det afskaffet"". God lykke!",0
neutral,"Ær at bidrage med faglig viden og erfaring til at løse komplekse problemer, der rører samfundet. Dette giver mening og betydning til min rolle som embedsmand. Læs klummen i #dkpol",0
neutral," Den forskning, du henviser til, indeholder en række forskellige parameter, der alle spiller en vigtig rolle i den store samling af data. ",0
positive,🌈 Støt mangfoldighed og lige rettigheder! Udfordrer homofobi og arbejde for en inkluderende samfund. ❤️🏳️‍🌈 #respekt #tolerance #anstændighed #forskellighed #LGBTdanmark #dkmedier,0
negative,"Økonomiud Afviger aldrig fra retning, men når vi snakker om barnydelser, udbytter kommunen penge kontinuerligt hos den forælder, der skal betale, og udbetaler midlerne til modtager-forældren. Jeg kender ikke andre situationer, hvor det offentlige betaler uskønne skyldige beløb. Fogedretten!",0
negative," Ja, det er virkelig uhyggeligt overtrædelse af grænserne. Og det blot for at sige, hvad han siger, er dybt såret.",0
neutral,"En tilfældig passerende havde observeret, at der var en bil, der stod parkeret og antændte. ",0
negative,"Øjeblikkelig efter et uheld på Københavnsvej i Vordingborg opstod lange køer mandag eftermiddag. 
#fuh #ulykke #uheld #vordingborg #politidk #nyheder",0
negative,"”Det første, jeg tænkte på, var, at vi ikke bare udviser børn fra skolen, trækker småbørn væk fra børnehave og nødarterApi::Article->new({
                    title => 'title',
                    content => 'content',
                    author => 'author'})->save();
    forcen en fader til at give op med sit job, uden at noget myndighed står tilbage og tager hånd om dem efterfølgende i rets- og velfærdsstaten Danmark. Men det gjorde man”#paradigmeskift",0
positive,"Økonomiske midler er nødvendige for at sikre et udfordrende biblioteksforanstaltning og stimulere den kulturelle frihed. At udbygge bibliotekerne som centre for innovation og folkeoplysning skal ske med højere hastighed, så vi kan nå vore mål.",0
negative,"2 unge drenge, der er 14 og 15 år gamle, blev afholdt efter at have udført en ulovlig indsamling i Vemmelev. De fremstillede autentiske ""Røde Kors"" indsamlingsbørsdokumenter og lykkedes med at indsamle tæt på 100 kr. Den ældste af dem bliver nu anklaget for bedrageri, og penge skal returneres. #politidk
    ",0
neutral," Jeg ærer alle dem, der modstander regeringen aktivt og fastholder værdier som tolerance, åbenhed, sammenhold og frihed. Men jeg er ikke stolt over det danske politiske system.",0
negative," ""Det var uhyggeligt at se, hvordan han scorede målet. Jeg kan ikke forstå, hvorfor det blev tilladt og det var helt uacceptabelt."" - Her fremlægger han en kritik, der tyder på, at han ikke er tilfreds med situationen. Dette viser, at han ser måden som forkert og vil ønsker endnu mere respekt for reglerne.",0
positive,"Å rejse med fribtid har en fremtid, når forskning i bæredygtig olie baseret på organisk affald og plastik - der senere kan indsives direkte i eksisterende flymotorer - skal udbygges. Dette er et eksempel på dansk innovation, som bidrager til #dkforsk, #dkbiz, #SDG10 og #SDG7.",0
positive,"Derfor har jeg købt en regnbuefanne og bringer den med på sydtribunen søndag!😄🌈. Hvis nogen har et handicap-flag, kvindeflag, jydeflag eller lignende, er jeg også glad for at få det med. Jeg respekterer næsten alle, så længe de støtter Brøndby! #brøndby #stopphomofobi",0
neutral,"🤾‍♀️ I dag vises 2 håndbold-arrangementer på TV, og de er værd at se:

📺 2 på skærmen
#TV #dksport #dkbold #hndbld

🔗",0
negative,Ændringer kan også have negative konsekvenser. Fokus mere på samfundets samarbejde end individualismen. Vi behøver det i en verden med stigende ulighed #dkpol,0
neutral," Seneste nyhed fra Danmark og Verden: Online-aktiviteter i sommerhuset bliver almindelige, hvor mange danskere tilbringer påske online i deres sommerhus. Selvom mange forbindelser sommerhus med friluftsliv, spil og bøger, viser nye data, at danskerne også er online i samme grad i sommerhuset end hjemme.",0
neutral,"
    Jeg har rejst til Schweiz, hvor det er vanskeligt at købe medicin og de fattigere kantoner har vært udsat for økonomiske vanskeligheder. Forsikringsselskaberne har også sat prisen op. Det er værd at tage andre læringspunkt fra Schweiz med til hjemme.",0
neutral,"Øjeblikkeligt, det er ikke nødvendigvis en generel regel for alle amerikanske medborgerer. De fleste amerikanere har dog afstamning fra Europa.",0
positive,"🗞️ Opdatering om startopstillingen: Vi har valgt næsten alle spillere fra vores tidligere kamp mod Randers FC til dagens duel mod Vendsyssel FF. Lader os se, hvad vi kan gøre i denne kamp! ⚽️ #sldk #stærktSammen",0
negative," Hvordan kan vi dog tale om kritik i et demokrati? Det er en forventning, at alle får muligheden for at udtale deres mening. Men det betyder også, at vi skal være parate til at håndtere kritik og debat, og sikre at demokratiske værdier ikke bliver truet af ekstremistisk vold. Vi burde acceptere klovnenes vrøvl, mens vi sikrer at alle kan udøve deres ytringsfrihed uden at blive fortryllede af fanatisme.",0
neutral, Seneste nyhed på #nyheder: Hård rock og respekt. Dronningen besøger Rungstedlund og det bliver en uforgetelig erfaring.,0
negative,"
    Et tilsvarende eksempel kan være at sætte op et brandværnssystem til at undgå DDoS-angreb, som at ""udvælge informationerne fra strømmen"". Samme spørgsmål til dig: Mener du, at det er bedre at lukke øjnene og tillade hackere at angribe valget uden forstyrrelse?",0
negative," Jag har læst, at det er svært at slukke branden i Notre Dame. Det er uhyggeligt. Jeg beder om en yndig gudommelig indgriben🙏. #notredamedeonbrand ",0
positive,"Den storstående favorit, Broncos, har altid været tiltrukket af Lock som draftvalg. Det er et utroligt godt sted for ham at lande - undtagen når han skal spille mod Chiefs to gange om året.",0
negative," Det er naturligt at have ønsker og håb, men det er også vigtigt at tage dem i betragtning og arbejde for at nå frem til dit mål.",0
negative,"I de seneste årtier har private virksomheder oplevet en markant vækst i overskud. De riges rige er dog gennemvundet det mest, mens den generelle befolkning har adgang til mindre af samfundets velstand. Uligheden stiger siden 1990, og i dag repræsenterer de 4% rigtigste mennesker i landet 25% af det samlede rigdomme.",0
negative,"Ønskede forbedringer i optagelsesreglerne for gymnasiet er tydeligt, men de forligspartierne virker stadig forvirrede over eksisterende regler. Deres tidligere hensigt var at begrænse antallet af studerende, og dette vil også være fremtiden #dpol #uddannelse",0
positive,"Ønsker du at lave en mixtape med blot én kunstners bagkatalog, hvem tror du vil være den bedste valg? Hvilke sange ville du inkludere?

En fantastisk idé! Her er eksemplet fra det norske musikartist, Prins Thomas. Han har fremstillet et meget respektværdigt og lyttevenligt hyldestmix baseret på Shinichi Atobes musik",0
positive,"Det er ikke meget der kan sammenlignes med solen, der går igennem træerne på en frisk forårsdag. Sådan et skønt syn 😍 Skulle det være dig, Hjalmer? 😄 @…",0
neutral,Økonomistyrelsen diskuterer i øjeblikket innovation gennem regulering under Finans & Leasings minikonference om PSD2 og dens betydning for kreditvurderinger. #dkfinans #psd2 #dkbiz,0
positive,"En nylig regnskab udgiver, at det er især TV 2-kanalerne, der har øget deres engagement i dansk tv-fiktion #dkmedier",0
positive,"Åh, det var en stor succes! 😄",0
negative," Nej, det er ikke den første gang, at det er blevet nævnt, men politikken om udladning af udlændinge har vist sig at være uheldig og netop grunden til modstand. Vi har allerede fået for mange indvandrere, der truender vore velstand og tryghed. Så for en gang kendt, følger vores situation os selv i stedet!",0
negative," Du kan ikke blive alene. Såvel jeg som B Olsen har kæmpet mod kritik fra vælgerne på grund af vores meninger. Et politisk stridskulf er opstået i #dkpol, hvor politikerne vil sige nej til at høre til #vælgernes kritik. Men det er tæt på #Valg2019 og vi skal fortsætte med at fremme vores synspunkter, selv om det kan være modstand. #Hurra",0
negative,"Ja, men lader os også ikke glemt, at naturen omkring os kan være en store irritation. Forsøg at være mere tolerant over for de fugle, som ernærrer sig fra vores korn, og til gengæld vær nødfuldt med de insekter, der hjælper os ved at spise træerne. Vi skal arbejde sammen for at beskytte denne planet vi alle deler.",0
positive,Å implementere bevægelse i skolen - hvordan gør man det? Der var god rådgivning om dette i den seneste netværksdag og foredrag. Se eksempelvis taltet om Parathedsskamlen i videoen nedenfor. #skolechat #idrætspol #uddpol,0
positive,2 mio. kroner vundet ved kupontip for et slag ti'er,0
negative,"Åh ja, det er helt uundgåeligt at nævne de problemfelter du støder på når det kommer til vilde datafildelinger! Smukt ses ikke med nul skat, Amazon (og alle jer andre). En virksomheds-holdning er det sidste jeg mener om. #Amazon #ComingSoontoDK",0
positive,"Heltene! Jeg oplever samme lyst og indsats hos mine børn, når de leger, som jeg også har erfaret i deres alder. Det er ikke forbudt at engagere sig som voksen, så lad os spille! 😊🕹",0
positive," Jeg vil gerne tilmelde mig til holdet. Hos os spiller vi ofte computer- og konsolspil, både forældre og børn. Det er underholdende og lærende, og det var også en god øvelse i skelettmuskulatur, da den var nødvendig. Det gik hurtigere end vi troede, og lægen mente det skyldtes spillet",0
positive,"♻ Skive anvender stjerner til at omdanne dyreernes ubrugelige kost til foder, hvilket giver både økonomisk vækst og en bedre miljøindsats. 🌿💰🐄 Er du interesseret i at lære mere? Find her: #dkgreen #landbrug #dkbiz",0
negative," En sådan narcissistisk personlighed og længsel efter opmærksomhed, som sviger at have omtanke for andre mennesker, er simpelt hen et magerspil i den aktuelle splittelsesdiskurs i dansk politik. Det er så rart, hvordan nogle mennesker kan være så selvcensureløse og uden empati.",0
neutral,"Consulterende udtaler, at rådgivningen har haft indflydelse på Falck-sagen: ""Det skete for meget med emotionerne i stedet for den rationelle overvejelse""",0
positive,"ØKOLOGISK TØRKE MEN TILGODS FOR HYGGELIG PÅSKEFRIDAY🐣 Nordjyllands Beredskabs vagthavende indsatsleder deler gode råd om, hvordan vi skal være forsigtige med at bruge vandet udenfor i det gode vejr. 
#NaturenErTør #ViPasserPåJer",0
positive,"Ændring og innovering er fremtiden. 🌱 Derfor har .@USER og .@USER lavet disse dybdedykkende videoer, der viser erhvervets både gode og dårlige sider: Vi skal sikre fremgangen, ikke blot i kort sigt, men også i langsigtet! #dkpol #dkmedier",0
positive, Mine alle stemmer er rettet mod Live. Føl med mig på den vilde musikrejse! #xfactordk,0
negative,"100% sikker på, at alle fagforeninger/fagforbund uden tvivl - og uden problemer - kan forsvare deres interesser. Men det ville være meget naivt at investere i LA, der kun trænger på 'almindelige', ualmindelige danskere.",0
negative," Journalister vil aldrig fornægte, at befolkningen har direkte adgang til beslutningstagere og at nyhedsudsendelsen ikke bliver manipuleret af journalisterne.",0
negative,"Øjeblikkelig ulykke mellem personbil og lastbil i Ringsted lørdag eftermiddag. 
#ulykker #trafikhaverier #ringsted #politidk #nyheder",0
negative," Det lyder som om du er uenig med nogen, der kritiserer de handlinger begået af de som udfører voldsadfærdsbegreb. Er det det rigtige?",0
positive,"🏆 Gulddrengene i Danmark!🇩🇰🎉 Tillykke med dine prestationer!🥇 Sjældent set, at der er så mange mennesker på Rådhuspladsen.🚀👏🇩🇰🤝
    ",0
neutral,"1 gang ugentligt. Kanske lidt mere i starten. Og når man kommer længere nede ad vejen, ved man aldrig hvad der sker. Måske flere detaljerede spor om træningstimerne, vægttabet, ernæringen og velstanden",0
neutral,"17 af Danmarks største pensionsfonde har ikke investeret i de canadiske tjæresands-selskaber, herunder PFA, PKA, MP Pension, Pensam, TopDanmark og ATP.",0
negative,"Vi skal se til valget nu, men illiberale holdninger spredes også langt ind i regeringens rækker, hvilket ikke er enten demokratisk eller fair.",0
positive,Ønsker du at møde os mandag aften nær ved Østerbro? Deltag i vores åben dialog om seneste tech-trender med undertegnede og ⁦@USER⁩. Vi håper på at se jer der! #tænkpausTech,0
positive,"💪️👍 Vow, fangrier er usådlige. #GoCards #HonestMissing 🚀 
Det gælder utrolig vist om Lisa og Rick fra Nashville, der har været tro mod Cardinals siden 1988! Det er så coolt at de aldrig har meldt sig fra en hjemmekamp – undtagen den ene gang, da Cardinals flyttede til Arizona. #NFLDk #fankamikaze #TrueFans",0
negative,"Øjeblikkeligt mindes vi Far og Mor - det var nazisme, ikke tyskere, der var tale om. #dkpol",0
positive,"Ægte værd at læse og den er vel også en af grundene til, at den er så interessant.",0
positive," Senest opdateret om Sundhedsreform: Placeret på : #Nyheder Ny sygehusopførelse, flere læger og sygeplejersker vil gøre det mere effektivt og tryg for danskere i sundhedsvæsenet. De vil opleve bedre sammenhæng og nærhed.",0
neutral," Det med stillhedsaktiviteter og mangel på fysisk udfordring er sandsynligvis mere knyttet til generel skærmtid. Fortnite spillet er blot et eksempel på et spil, der kan holde børn optagne i længere tid.",0
negative," Mitchell foreslag er, at først får vi noget tilstrkændende og anvendeligt at stemme om - uanset om vi er blå eller røde - når DF taber deres indflydelse på den politik, der bliver ført i #dkpol. Vi skal arbejde sammen til at føre en god og anvendelig politik i stedet for at konkurrere om hvem der er den bedste.",0
positive,2-1 sejr for Fredericia er ekstremt vigtig i kampen #1div #FCFredericia. Det var en nødvendig sejr for holdet.,0
neutral, Jag er i gang med at rejse!,0
negative,"Økonomiminister Troels Lund udtaler, at udenlandske firmaer muligvis undlægger at registrere sig når de udfører arbejde i Danmark. Han fokuserer imidlertid på denne regering har gjort betydelige økonomiske indsats for at bekæmpe social dumping og støtte Arbejdstilsynet. #dkpol",0
negative,"Økonomisk kriser og uro får fascismen til at vokse igen i Tyskland. Snart vil nazismen genopstå i nye klæder, med religion som udgangspunkt for politik. Venstreorienterede i Europa bør tage meddelelsen af historien på alvor. #dkpol #dkmedier",0
negative," Det er så ramende at se Notre-Dame i flammer. Jeg er glad for, at jeg fik lejligheden til at besøge den smukke by, som forvandler mig vild med tankerne.",0
neutral," Overblik: S-formanden Morten Østergaard har rejst seks radikale krav til Mette Frederiksen, hvis hun skal have hans støtte som statsminister. Disse krav omfatter udlændingeområdet, klima og økonomi.",0
negative,Ønsker du at sælge liberalisme? #dkpol #ligevilkårforalle Nikolaj Saadat: DF fejrer politiske sejre på grund af liberals magtlystnende,0
positive," I Åben for spørgsmål. Der sker så en ny udstilling i Aalborg Zoo, som vil være dedikeret til dinosaurer, som skyllere de børn noget med en måde og åbnende forestillinger og endvidere følelsesmæssige oplevelser. Sophus på fem år viser imidlertid at han er modstandsdygtig over for disse typer oplevelser.",0
neutral,"37 aspiranter vil udfordres i de næste dage, da de tager fysisk og skriftlig optagelsesprøve til politiet på politiskolen i Fredericia. Læs mere om optagelsesprøverne på #politidk for yderligere information",0
negative," Det er helt uforklarligt at se, hvordan TLP kan stå og sige: ""Vi er her for at starte en konstruktiv debat"", kun for derefter at sige: ""Stop nu"" og ""Der er ikke noget at komme efter"". Desuden, det ser ud som om de bliver trætte og irriterede når de bliver mødt med kritiske spørgsmål. #dkpol",0
negative,"Øjeenkyldning kalde ""afhængighed"" for et dybt problematisk ordvalg. Det stammer fra en patologisk fagværktøjskasse og er derfor en sproglig sygeliggørelse af noget, der helt klart ikke handler om at teenagerne der snapper. Sammen med mig: Ikke 👏 en 👏 diagnose 👏.",0
positive,"Åh, tak for det gode ønsket! Jeg ser frem til at møde jer begge igen, men vi vil måske ikke mødes i aften.",0
neutral," Vi kan se om vi finder nogen internt eller søge på internettet.
  Gårdfornyelserne har muligvis ført til oprettelsen af en forening, men jeg ved ikke hvilken. Hvem har kendskab til gårdfornyelses-initiativet?",0
positive,"Vi har nået slutspillet, og efter en uafgjort 30-30 mod GOG tager Ribe-Esbjerg HH over vi og indtager ottendepladsen. Lederne skal sørge for, at de drev her til kæmpe resultater, og jeg håber, at du vil give dem en stor beundringsgave på sociale medier.",0
positive,"Ønsker du en lillebror eller søster vil give dig samme følelse som det Jasmine, Leo, Luke og Lucy får ved at få en ny lillesøster. Det siges også at Jake er glad for sin nye lillesøster.",0
negative,"Medierne belyser hans handlinger, men det betyder ikke at de støtter ham. Når Nørrebro går i brand, kan de ikke undlade at rapportere om det. Det er deres job.",0
neutral," det er rart, men vi er næsten klar til den sidste kamp - det er virkelig frustrerende",0
negative,"Ældgæring og primitiv adfærd fra fansene er uhyggeligt og skader fodboldens omdaning. Fodboldklubber bør have øjnene på disse faner og gøre sig lydlig. Der mangler tår ved væren så tal, så kan sanering strække sig over mange klubber. Vi skal ikke acceptere dette i 2019. ",0
negative,"Øjeblikkeligt efter en lov om at forbyde ""jomfruhinde kirugi"" stiller Folketinget nu selv spørgsmålet om en aldersgrænse for omskæring. At udstede en sådan lov uden en grænse er ikke blot diskriminerende, men også ubefoget forskelsbehandling mellem piger og drenge. Denne situation bør omdesignes og sikre, at enhver unge person kan beslutte selv om de vil gennemgå en sådan operation. #dkpol",0
negative,"Men jeg finder det svært at forstå, hvorfor folk mener, at det er acceptabelt at skændes homofobisk og racistisk på stadion, at de tror, at det er passende at udfordre efter fodboldkampe og så gerne få alkohol overborges der med Tåg M/S Roskilde. Men lighed for loven skal være.",0
neutral,"Der ligger nogle klipper foran vores hus, og Nationalbanken er et af de bygninger, der står der (og de ser ganske godt ud). Men det fylder sjælvklart ikke alt væsentligt i den lokalitet.
    ",0
neutral,"Det er sandt at der findes mange forskellige steder i Folehaven, hvor du kan tage afsted på eventyr. Her kan du få en overblik over de fire mest populære destinationer:",0
neutral,"Der er endelig en app, der kan hjælpe dig med at organisere og holde styr på alle dine cykel-informationer. Kan du forstå, hvad denne app kan gøre for dig?",0
negative,"Ær det virkelig så skuffende at dine valgere ikke er tilfreds med dit parti og dine ideer? Måske burde vi overveje at fjerne demokratiet, fordi du har modtaget nogle negativt tøsefornærmelser på Twitter. Men hvorfor ser vi dette som en skade for dig selv, snarere end som en mulighed for at lære og forbedre?",0
negative,"Mange mennesker har tvivl om, hvorvidt de har overladt deres bil til en trailer, men nogle vælger alligevel at drive forbi dette udfordrende skel. Både dypning og ekstra belasting gør dette et potentielt farligt og dyrt forhåbentlighed, så Rådet for Sikker Trafik og FDM tilbyder nyttevidende råd for at undgå denne fare.
    ",0
neutral,"Å, de er faktisk meget almindelige som kæledyr i Australien. De vejer normalt mellem 1,2 og 2 kg. De lukker næsten ikke lugt og laver også kun lidt lyde, bortset fra hvis de befinder sig på hårde gulve, da klikker de deres ben et lidt med mod gulvet, men man bliver hurtigt accepteret over for det.",0
negative," Jeg anbefaler, at du tager tid til at forstå betydningen af begrebet ""de facto"". Det er som at lovgive om svin skal slagtes på Grønland og senere undre sig over, at slagterier lukker.",0
neutral," Det ville være lidt overdrevet at tro, at AGF kan slå AaB og SøE Esbjerg kan slå Randers. Hvis det sker, vil det føre til en ny møde mellem de to hold i 5. og 6. runde. Det ville være spændende, men det ville også have været interessant, hvis de havde mødt hinanden i pokalturneringen for at nå det maksimale antal af 7 møder. Men uanset om det bliver 6 eller mere vil det stadig være en SL-rekord ",0
positive,"Ændringer. Jeg var også nede i den dybeste kulkælder inden jeg opdagede ‘mit sandhed’. Det har vist nøje og betinget, men jagt om overjordisk nødvendigt. Føler jeg endelig er på rette kurs - måske for første gang i mit liv?",0
negative,"Ærkeenglen, jeg forstår, at du er frustreret over den magtlystne holdning hos borgerlige partier, men det er vigtigt at samarbejde for at undgå yderligere uhyggelighed. Vi skal ikke glemme, at vi har lært fra fortidens fejltagelser.",0
neutral,75 pct. af danskerne føler sig nervefyldt over den stigende popularitet af nye protestpartier i Europa. #dkpol #eudk,0
negative,"Det er klart, at sande ting ikke betyder noget for ham og hans anhængere. Det er blot trist og lidt skræmmende.",0
positive," Det var en behagelig oplevelse at møde to så smarte personer, der er modne nok til at indrømme, at de har flere tankegænger og spørgsmål end svar. Selv @USER kunne forstå dette, og Mette var også en god medarbejder. #IWD2019",0
negative," SMS-kæden begynder med Don Johnson, selv om beslutningen blev taget af den globale ledergruppe, hvor Jørgen Leth også er medlem. Naturligvis",0
neutral,"Ørsted ændrer strategi og vil selv drive vindparker. I min nye bog fremlægger jeg spørgsmålet, om hvor vidt Ørsted overhovedet skal producere møller i fremtiden? Serviceafdelingen (kompetencer og erfaring) er Ørsteds stærkeste kort p.t. #dkbiz #dkfinans",0
negative," ""Har myndighederne udsat eller undladt kontrol af bankerne, fordi de har støttet borgerlige partier?"" - Claus Bryld. DkPol #BekæmpFattigdomNU",0
neutral,"Øst-vest-længdeaksen spiller en vigtig rolle i Aalborg Stadion, som er det eneste sted i Danmark hvor banen er lagt ud i denne retning. Dette viser særligt tydeligt, hvor meget dagen påvirker fysisk og tekniske aspekter af sportene spillet der. #sldk",0
neutral,"Derfor er det ulovligt at skænke til og tillige, naturligvis, når de sover sammen med nazister. Ja, nogle tror sandsynligvis også, at kommunistvennerne og grøn-fascisterne burde omfalmes. Men du kan gerne SÆLGE til KSA #dkpol",0
positive," Men hvem har bestemt, at lang og tynd er mere skønt end kort og rund? (Selv svarer: Det er nok et biologisk fænomen, samme regler gælder i design.)",0
negative," Hvis vi ikke kan vise empati og respekt for mennesker, er vi en fattigere nation.",0
negative,"
    Det var lidt besværligt at beherske min frustration over @USER, fordi man kan udtale sig så uheldigvis, når man er i uenighed. En udenrigsminister bør vistnok holde sig mere tilbage på sociale medier!
    #dkpol",0
neutral,"Dybdedelen var lig, og udkacedes ved håndteringen af kontrolleringsvariablemængden: ""Når en gruppe lærere i et af de andre studier fik flere timer med klassen og dermed mindre arbejdsbelastning, forsvandt næsten modstanden imod at inkludere en elev med et mellemøstligt navn.""",0
positive," Vi elsker at høre din mening! Del dine tanker med os, og vi vil sikre, at vores beslutninger tager hensyn til dit input. #dkpol #flerevedmere",0
