,text,label,paraphrased_text
0,Læs hele det skønne interview her:,positive,"Få det fulde, dejlige interview her:"
1,"Nu har jeg beklaget mig i flere måneder over, at det folketingsvalg aldrig kom. I dag vil jeg dog sige, at jeg sender en meget kærlig tanke til Løkke-far, hvis han holder sig fra knappen. Ellers skal jeg udføre mit arbejde fra tønden 😂💩 

Don’t do it!! Plz! #vigtigviden",negative,"Jeg har klaget i adskillige måneder over det manglende folketingsvalg. I dag vil jeg imidlertid gerne udtrykke min sympati for Løkke-far, hvis han undlader at trykke på knappen. Ellers må jeg udføre mit arbejde fra toilettet 😂💩 

Undlad det venligst!! Plz! #vigtigviden"
2,"Fuldstændig korrekt. Dyr er vidst forskellig når det angår intelligens. 

Jeg nævnte name the trait tidligere og hvis vi prøver det argument med intelligens vil vi se at det er en dårlig måde at skille hvem der må dræbes og ikke må.",neutral,"Dyr varierer i deres intelligensniveau, hvilket gør det vanskeligt at bruge intelligens som kriterium for hvilke dyr der skal dræbes."
3,"#Sundhedsvæsenets største udfordringer de kommende år, når man spørger en flok snart-speciallæger. #Økonomi #lægemangel #besparelser #arbejdsmiljø #ældrebyrden - hvorfor ikke tage udgangspunkt i dette, i en reform?@USER #sundpol",neutral,"Når man spørger en gruppe snart-speciallæger, er de største udfordringer for sundhedsvæsenet i de kommende år økonomi, lægemangel, besparelser, arbejdsmiljø og belastningen fra ældre. Derfor kan det være hensigtsmæssigt at tage udgangspunkt i disse udfordringer ved en reform."
4,"Myter om ateismen #3
“Ateister er imod, at religioner missionerer - men gør det selv.”

Nej, vi har nemlig aldrig anklaget nogen for at missionere og sige, hvad de mener er godt for mennesket.

Det vi siger er, at religioner ikke er gode idéer. 

#duerjoateist #dkpol #dktro",negative,"Ateister er modstandere af religiøs missionering, men de gør det selv. Nej, vi har faktisk aldrig beskyldt nogen for at missionere og fortælle, hvad de mener er godt for mennesket. Det, vi siger, er, at religioner ikke er gode ideer. #ateist #danskpolitik #dansktro"
5,Nu kommenterede jeg ej heller på hverken standarden af dommere eller fejlkendelserne (for det var det) men læs dit eget tweet igen og så er vi retur ved sølvhatten,negative,"Jeg kommenterede hverken standarden blandt dommere eller fejlkendelserne (for det var det) ej heller, men hvis du læser dit eget tweet igen, så er vi tilbage ved sølvhatten."
6,"Husk nu: Mega dyr fornøjelse med ekstra politi på gaden idag på Nørrebro! De skal jo ha' SØNDAGS-TILLÆG! Er de kaldt ind på en fridag ja så er det sgu endnu dyre! Det Paludanske Totalteaters provokations-demonstrationer ligger statskassen til last! [LINK]

#dkpol",negative,"Husk nu: Det bliver meget dyrt med ekstra politi på gaden i dag på Nørrebro! De skal have søndagstillæg! Hvis de bliver kaldt ind på en fridag, bliver det endnu dyrere! Paludanske Totalteaters provokations-demonstrationer belaster statskassen! [LINK]"
7,"Jo, timingen er da nok ikke tilfældig. Men er timingen så vigtig? Er det ikke vigtigere at der er 12.000 der synes hans politik er legitim, og prøve at forklare hvordan dét kan være?",negative,"Ja, det er sandsynligvis ikke tilfældigt, at timingen er sådan. Men er timingen virkelig så afgørende? Er det ikke vigtigere at forklare, hvordan det kan være, at 12.000 mennesker synes hans politik er legitim?"
8,"Kirke sender prædiken på Youtube I Ny Kirke er de hoppet på Youtube. Præst, prædiken og kristent budskab bliver filmet og lagt på internettet, så det kristne budskab kan nå ud til hele verden.",neutral,"I Ny Kirke bruger de Youtube til at sende prædikener. Præsten og det kristne budskab bliver filmet og delt online, så det kan nå ud til mennesker over hele verden."
9,"Når vi nu ikke ved, hvornår der er Folketingsvalg (@USER?), kan vi jo meget passende forberede os til den 26. maj, hvor vi stemmer om noget, der er MINDST ligeså vigtigt #dennegangstemmerjwg #eudk",negative,"Da vi ikke kender datoen for Folketingsvalget, mal vi bruge tiden til at forberede os til den 26. maj, hvor vi skal stemme om noget, der er mindst lige så vigtigt #dennegangstemmerjwg #eudk."
