,text,label,paraphrased_text
0,"Det er svært at sige, hvordan det frie valg vil gå.",neutral,Det er vanskeligt at forudsige udfaldet af det frie valg.
1,"Jeg synes stadig, det er lidt urimeligt, men det understreger, at vi er nødt til at vise, at vi støtter iværksættere i udviklingslande, og en af de bedste måder at gøre det på er ved virkelig at opfordre til åbne markeder i hele verden.",positive,"Selvom jeg stadig mener, at det er uretfærdigt, fremhæver det vigtigheden af at vise vores støtte til iværksættere i udviklingslande. En af de mest effektive måder at opnå dette på er ved at skabe åbne markeder globalt set."
2,"Gennemsigtighed, klarhed, kontrol og eksempler på bedste praksis er de grundlæggende krav til alle former for udvælgelsesprocedurer i EU, og de skal også være gældende for udvælgelsen af europæiske kulturhovedstæder.",neutral,"Alle udvælgelsesprocedurer i EU kræver gennemsigtighed, klarhed, kontrol og eksempler på bedste praksis. Disse krav gælder også for udvælgelsen af europæiske kulturhovedstæder."
3,Dengang var Socialdemokraterne den største gruppe.,neutral,I fortiden var Socialdemokraterne det største parti.
4,"Lissabontraktaten er et kompromisresultat mellem drømmen om en europæisk føderation og den frygt, der i øjeblikket ikke blot findes hos borgerne i de nye stater, men også i de lande, der har grundlagt vores Fællesskab.",neutral,"Lissabontraktaten er et resultat af et kompromis mellem ønsket om en europæisk føderation og bekymringen, der findes blandt både borgerne i de nye medlemsstater og de oprindelige medlemslande i vores Fællesskab."
5,Med hensyn til ændringsforslag nr. 2 og 5: Efter Kommissionens opfattelse bør den manglende iværksættelse af visse dele af det integrerede system prøves inden for rammerne af den gældende budgetdisciplin og forskrifterne for regnskabsafslutning.,neutral,"Når det kommer til ændringsforslag nr. 2 og 5, mener Kommissionen, at vi bør undersøge den manglende implementering af visse dele af det integrerede system inden for de eksisterende rammer for budgetdisciplin og regnskabsafslutning."
6,Min gruppe har dog lige fra starten været kritisk over for dens mangler og især i denne sammenhæng.,negative,"Fra starten har vores gruppe dog været skeptisk over for de mangler, den har, især i denne kontekst."
7,"Da jeg støtter alle disse foranstaltninger, og da jeg er overbevist om deres nytte og fordele, stemte jeg for vedtagelsen af denne betænkning.",positive,"Jeg har afgivet min stemme til fordel for vedtagelsen af denne betænkning, da jeg er enig i og støtter alle de foreslåede foranstaltninger på grund af deres positive virkninger og fordele."
8,Vi går nu et skridt videre og tager naturligvis først fat på samtaleroaming.,neutral,Nu tager vi næste skridt og begynder selvfølgelig med at tale om roaming i udlandet.
9,Der er f.eks. behov for at undersøge modeller for konstruktion af en enkelt procedure til vurdering af ansøgninger om flygtningestatus og om subsidiær beskyttelse.,neutral,"Et eksempel på noget, der kan undersøges, er forskellige modeller til at udvikle en enkelt procedure til vurdering af flygtningestatus og subsidiær beskyttelse."
10,"Den bekræfter, at fællesskabsretten ikke kan anvendes i tilfælde, hvor den måtte overskride de beføjelser, den har fået af det tyske folk; den lufter endda muligheden for at forlade Unionen, hvis de tyske borgeres forfatningsmæssige rettigheder ikke respekteres.",neutral,"Udtalelsen bekræfter, at fællesskabsretten ikke kan anvendes, hvis den overskrider de beføjelser, der er givet af det tyske folk. Den nævner også muligheden for at forlade Unionen, hvis de tyske borgeres forfatningsmæssige rettigheder ikke respekteres."
11,"Fru formand, jeg håber, at det virkelig vil lykkes den polske regering, hvis tanker og hensigter, antager jeg, udtrykkes her i ambassadørens ord, at forhindre en gentagelse af den slags demonstrationer, og navnlig også, at disse monumenter for elendighed og menneskelige lidelser og tragik også for de unge vil være et varigt tegn og en varig advarsel mod, hvad en nazistisk og racistisk ideologi kan tilvejebringe.",positive,"Fru formand, jeg håber virkelig, at den polske regering vil have succes med at forhindre gentagelse af sådanne demonstrationer, som ambassadøren nævner, og at de samtidig sikrer, at disse monumenter for elendighed og menneskelig tragedie også for de unge vil være en varig påmindelse om, konsekvenserne af nazistisk og racistisk ideologi."
12,"Her er der meget, der skal gøres, men det bliver ikke gjort, hvis de politiske kræfter ikke opnår et minimum af konsensus.",negative,"Hvis der ikke opnås en vis grad af konsensus blandt de politiske kræfter, vil der ikke blive udført meget arbejde, der skal gøres."
13,Dette vil ske i fuld overensstemmelse med de relevante bestemmelser i den ændrede rammeaftale.,neutral,Dette vil blive udført i henhold til de passende bestemmelser i den opdaterede rammeaftale.
14,"&#160;&#160; Hr. formand, hr. kommissær, lad mig først komme med min udtrykkelige og oprigtige tak til ordføreren.",positive,"Kære formand og kommissær, jeg vil gerne begynde med at udtrykke min dybfølte tak til ordføreren.
"
15,Vi deltager her beskedent som rådgivere.,neutral,Vi er her tilstede i en ydmyg rolle som rådgivere.
16,Vi ser positivt på hr. Kirchners valg som argentinsk præsident og på præsident Lulas og præsident Kirchners udtalelser om Mercosurs fremtid.,positive,Vi er optimistiske med hensyn til hr. Kirchners udnævnelse som præsident i Argentina samt præsident Lulas og præsident Kirchners syn på Mercosurs fremtid.
17,Specielt Østersøen er et meget følsomt hav med brakvand.,neutral,Især Østersøen er kendt for at være et hav med brakvand og stor følsomhed.
18,"Jeg konstaterer dog til min store tilfredshed, at den offentlige europæiske debat om grønbogen på en vis måde har dæmpet medlemsstaternes modvilje, eftersom de i nogle tilfælde ligefrem principielt var modstandere af at tage spørgsmålet om lovlig indvandring op på europæisk plan.",positive,"Jeg er glad for at se, at den offentlige europæiske debat om grønbogen har haft en beroligende effekt på medlemsstaternes modstand mod at håndtere spørgsmålet om lovlig indvandring på europæisk plan. Det er tilfredsstillende at observere, at nogle af medlemsstaterne, der tidligere var imod ideen på principielt niveau, nu er mere åbne over for det."
19,"Hr. formand, mine damer og herrer!",neutral,Hr. formand og alle tilstedeværende!
20,"Oprørsbevægelsen FLN har nægtet al indblanding, men støtter heller ikke fredsprocessen.",negative,"FLN-bevægelsen nægter enhver form for indblanding, men viser heller ikke støtte til fredsprocessen."
21,"Øverst på den politiske dagsorden i dag er den store, økonomiske krise, som landet er i nu, problemet med tilbagevendende, vandrende arbejdstagere og selvfølgelig vold og organiseret kriminalitet.",negative,"I dag er de vigtigste emner på den politiske dagsorden den økonomiske krise, landets udfordringer med migrerende arbejdstagere og problemet med vold og organiseret kriminalitet."
22,"Vi forventer af ethvert tiltrædelsesland, at det har et fuldt fungerende retssystem, der er i stand til at bekæmpe korruption og organiseret kriminalitet.",neutral,"Når et land ønsker at blive medlem af et større politisk fællesskab, er det vigtigt, at landet har et velfungerende retssystem, der er i stand til at håndtere korruption og organisert kriminalitet. Målet er at sikre, at alle medlemslandene kan arbejde sammen om at opretholde retsstatsprincipperne og beskytte deres borgere mod kriminalitet. Derfor stiller vi krav til tiltrædelseslandene om at have effektive retssystemer og værktøjer til at bekæmpe korruption og kriminalitet. Vi forventer også, at de har viljen til at samarbejde med de øvrige medlemslande for at tackle disse udfordringer på tværs af grænserne."
23,Det er nået for nogle af landene på forskellig vis.,neutral,Forskellige lande har oplevet dette på forskellige måder.
