,text,label,paraphrased_text
0,Vi skal have alle elever med.,1,Vi skal have med alle eleverne.
1,"I de 60.000 stemmer, der samme år var fastsat som minimum, manglede der 1427, for at Knud Kristensen i spidsen for fire andre folketingsmedlemmer atter kunne drage ind på Christiansborg.",0,"For at Knud Kristensen og fire andre folketingsmedlemmer kunne vende tilbage til Christiansborg, skulle der have været 1427 flere stemmer i de 60.000, der blev fastsat som minimum samme år."
2,"Jeg synes, at de skoler og uddannelsesinstitutioner og  vejledere, som er under den fri ungdomsuddannelse, havde  fortjent ro om uddannelsen og havde fortjent, at vi her fra  Folketinget også anerkendte den store indsats, de yder, ved  at skabe et forlig, der sikrede roen på hele området i de  kommende år.",1,"Jeg mener, at skoler, uddannelsesinstitutioner og vejledere under den fri ungdomsuddannelse bør få anerkendelse og ro omkring uddannelsen. Jeg mener også, at der bør indgås en aftale fra Folketinget, der sikrer stabilitet i området i de kommende år."
3,"Vi  har et tilfælde, hvor en metastase er blevet minimeret, som  det jo sker ved den stereotaktiske strålebehandling, hvor man  kan gå ind og operere en patient, så han måske bliver  fuldstændig helbredt.",0,"Vi har haft en situation, hvor en metastase er blevet formindsket ved brug af stereotaktisk strålebehandling, hvilket muligvis kan føre til fuldstændig helbredelse af patienten."
4,"Sidste år lavede Erhvervs- og Vækstministeriet en analyse af, hvordan der kan skabes øget konkurrence på lodsområdet.",0,"For et år siden foretog Erhvervsministeriet og Vækstministeriet en undersøgelse af, hvordan konkurrencen på lodsområdet kan forøges."
5,Forskellen mellem virkningerne på beskæftigelse og arbejdsløshed ligger i den øgede uddannelsesindsats.,0,"Den øgede indsats i uddannelse er det, der adskiller effekten på beskæftigelse og arbejdsløshed."
6,"I øjeblikket kommer de ofte for  tidligt i institution mange steder, og det var jo derfor,  børnepasningsorloven blev gennemført.",1,"I den nuværende situation ankommer de ofte før tiden i mange institutioner, og det var netop derfor, at der blev indført børnepasningsorlov."
7,"Og ja, der er også sager, hvor folk jo har ret, og der får de også deres gebyr tilbage igen, så der er det ikke noget problem.",1,"Ja, der er også tilfælde, hvor folk har ret, og de får også deres gebyr refunderet, så det er ikke et problem i disse tilfælde."
8,"Jeg synes bare, det er ærgerligt, at man på en eller anden måde med det her forslag vil løfte foden fra speederen i det pres, som det selvfølgelig vil give i de aftaler, man skal indgå for at nå målsætningen om det, der skal sendes i udbud.",0,"Det virker desværre meget skuffende, at dette forslag på en eller anden måde ønsker at mindske presset og engagementet i de aftaler, der skal indgås for at opnå målsætningen om at sende noget i udbud."
9,I Enhedslisten er vi ikke i tvivl.,0,I Enhedslisten har vi ingen tvivl.
10,"Men vores endelige mål er et dagpengesystem, hvor ingen kan falde ud, så længe de står aktivt til rådighed for arbejde eller uddannelse.",1,"Vi stræber efter et dagpengesystem, hvor det er umuligt for nogen at blive ekskluderet, så længe de er aktive på arbejdsmarkedet eller i uddannelsessystemet."
