,text,label,paraphrased_text
0,"Det er svært at sige, hvordan det frie valg vil gå.",neutral,"Det er vanskeligt at forudsige, hvordan det frie valg vil udvikle sig."
1,"Jeg synes stadig, det er lidt urimeligt, men det understreger, at vi er nødt til at vise, at vi støtter iværksættere i udviklingslande, og en af de bedste måder at gøre det på er ved virkelig at opfordre til åbne markeder i hele verden.",positive,"Selvom jeg stadig finder det en smule uretfærdigt, understreger det vigtigheden af, at vi viser vores støtte til iværksættere i udviklingslande. En af de mest effektive måde at gøre det på er ved at fremme åbne markeder globalt."
2,"Gennemsigtighed, klarhed, kontrol og eksempler på bedste praksis er de grundlæggende krav til alle former for udvælgelsesprocedurer i EU, og de skal også være gældende for udvælgelsen af europæiske kulturhovedstæder.",neutral,"Klarhed, kontrol, eksempler på bedste praksis og gennemsigtighed er essentielle krav for alle typer af udvælgelsesprocedurer i EU, herunder også udvælgelsen af europæiske kulturhovedstæder."
3,Dengang var Socialdemokraterne den største gruppe.,neutral,I den tid var Socialdemokraterne den største gruppe.
4,"Lissabontraktaten er et kompromisresultat mellem drømmen om en europæisk føderation og den frygt, der i øjeblikket ikke blot findes hos borgerne i de nye stater, men også i de lande, der har grundlagt vores Fællesskab.",neutral,"Lissabontraktaten er en kompromisløsning mellem ønsket om en europæisk føderation og bekymringen, som i øjeblikket findes blandt borgerne i både de nye stater og de oprindelige medlemslande i vores Fællesskab."
5,Med hensyn til ændringsforslag nr. 2 og 5: Efter Kommissionens opfattelse bør den manglende iværksættelse af visse dele af det integrerede system prøves inden for rammerne af den gældende budgetdisciplin og forskrifterne for regnskabsafslutning.,neutral,"Når det kommer til ændringsforslag nr. 2 og 5, mener Kommissionen, at man bør undersøge den manglende implementering af visse elementer af det integrerede system inden for de eksisterende budgetmæssige disciplin- og regnskabsafslutningsregler."
6,Min gruppe har dog lige fra starten været kritisk over for dens mangler og især i denne sammenhæng.,negative,I denne sammenhæng har min gruppe dog fra begyndelsen været kritisk over for dens mangler.
7,"Da jeg støtter alle disse foranstaltninger, og da jeg er overbevist om deres nytte og fordele, stemte jeg for vedtagelsen af denne betænkning.",positive,"Jeg stemte for vedtagelsen af denne betænkning, da jeg støtter alle disse tiltag, og da jeg er overbevist om deres værdi og fordele."
8,Vi går nu et skridt videre og tager naturligvis først fat på samtaleroaming.,neutral,Nu tager vi skridtet videre og begynder selvfølgelig med at fokusere på samtale-roaming.
9,Der er f.eks. behov for at undersøge modeller for konstruktion af en enkelt procedure til vurdering af ansøgninger om flygtningestatus og om subsidiær beskyttelse.,neutral,"Et eksempelvis behov kan være at undersøge alternative tilgange til udvikling af en enkelt procedure, der kan anvendes til vurdering af ansøgninger om flygtningestatus og subsidiær beskyttelse."
10,"Den bekræfter, at fællesskabsretten ikke kan anvendes i tilfælde, hvor den måtte overskride de beføjelser, den har fået af det tyske folk; den lufter endda muligheden for at forlade Unionen, hvis de tyske borgeres forfatningsmæssige rettigheder ikke respekteres.",neutral,"Det bekræftes af den, at EU-loven ikke kan bruges, hvis den overskrider de beføjelser, den er givet af den tyske befolkning; der nævnes endda muligheden for at forlade Unionen, hvis de tyske borgeres forfatningsmæssige rettigheder ikke respekteres."
11,"Fru formand, jeg håber, at det virkelig vil lykkes den polske regering, hvis tanker og hensigter, antager jeg, udtrykkes her i ambassadørens ord, at forhindre en gentagelse af den slags demonstrationer, og navnlig også, at disse monumenter for elendighed og menneskelige lidelser og tragik også for de unge vil være et varigt tegn og en varig advarsel mod, hvad en nazistisk og racistisk ideologi kan tilvejebringe.",positive,"Fru formand, jeg håber virkelig, at den polske regering vil opnå succes med at forhindre gentagelse af den slags demonstrationer, og især at disse mindesmærker for lidelse og tragedie også vil være et varigt symbol og en permanent advarsel for de unge om, hvad nazistisk og racistisk ideologi kan medføre. Jeg antager, at dette er, hvad ambassadøren udtrykker."
12,"Her er der meget, der skal gøres, men det bliver ikke gjort, hvis de politiske kræfter ikke opnår et minimum af konsensus.",negative,"Hvis de politiske kræfter ikke opnår et vist niveau af enighed, bliver der ikke gjort meget af det, der skal gøres."
13,Dette vil ske i fuld overensstemmelse med de relevante bestemmelser i den ændrede rammeaftale.,neutral,Disse handlinger vil blive udført i fuld overensstemmelse med de passende bestemmelser i den opdaterede rammeaftale.
14,"&#160;&#160; Hr. formand, hr. kommissær, lad mig først komme med min udtrykkelige og oprigtige tak til ordføreren.",positive,"Først og fremmest vil jeg gerne takke ordføreren. Kære formand og kommissær, jeg vil gerne udtrykke min ærlige tak til ordføreren."
15,Vi deltager her beskedent som rådgivere.,neutral,Vi er her ydmygt til stede som rådgivere.
