text,label,is_paraphrased
"Det kan jo slet ikke forslå. Men den regnemetode som Finansministeriet benytter skal du forvente at der skal forhøjes med yderligere kr. 225.000 oven i det som den enkelte skal have.
Det bliver megadyret og er vel grunden til at V ikke har fremlagt noget. #dkpol",negative,0
"Tidligere kunne fortælle, at en tysk burgerkæde er på vej, i sidste uge, at Garage Burger åbner i Fredericia og snart kan vi også se frem til en ny restaurant i det gamle Kims Køkken i Jyllandsgade 47.",neutral,0
"Jeg synes faktisk, det sprogligt har været svært at lure, hvad man skulle kalde ham, hadprædikant er måske bedste bud, men mange har ønsket ‘racismedømt’ - det ville jeg også tøve ved, som redaktør, mest fordi der ikke er tradition for at bruge den type “titel”, så forstår (1/2)",negative,0
Den er faktisk lidt sjov. Hvem er homofobisk - den som råber det efter en anden eller den som opfatter det som noget negativt?,neutral,0
Der kommer valg i den uge med to torsdage;,positive,0
Hvorfor synes og resten af folketinget at det er ok at fleksjobbere ikke skal have et ordentligt liv ? Se fx. DR I hus til halsen VII (4:8) #Udafhusoghjem #psykiskudmattelse Og vil ikke velfærd,negative,0
"Jo tak. Jeg klarer mig nok. Er rimelig langt. Tror ikke du er interesseret i at lytte til eller forstå, hvad jeg reelt spurgte om, men dig om det.",negative,0
"Jeg tænker måske det er det første, at hun rent faktisk udtaler sig om det. 

Og så er hun måske bare synlig i den del af debatten, hvor den del desværre er en del af hverdagen.",positive,0
"Der er både 👍 og 👎 i AFC West i vores draftanalyse 🏈

@USER kommer her med sin vurdering af holdenes valg i Nashville 💥 #nfldk #NFLDraft",neutral,0
"Blog: Katastrofale mangler hos udenlandske læger, der skal behandle danskere. Syg politisk korrekthed er den skyldige.",negative,0
har simpelthen leveret den bedste 1 maj. Tale jeg har hørt længe! Bravo. Flere af dem! #dkpol #dkmedirr,negative,0
"Hvem er det nu, der ikke bryder sig om menneskerettigheder og som DFs Krarup er så glad for? #dkpol ⁦@USER⁩",negative,0
"RT @USER: Det er frostvejr her.
De kære forårsblomster Kan ikke lide det.
Det kan jeg heller ikke !
✨🌷",neutral,0
Kommunen kiggede med på Kevins Netflix-forbrug: Politikere skal drøfte kontrolarbejdet,neutral,0
"⛹ Der er i dag følgende antal #basketball kampe, der vises direkte:

📺 2 på TV
💻 0 via Live Stream
#TV #dksport #dkbold #nbadk #nba

🔗",neutral,0
"Altså kernen: hende Amalie, som helt bevidst har benyttet sin populistiske magt til at lave shitstorm og gruppepres med henblik på at få en kunstner til at udøve selvcensur ?
Men eftertanke er altid godt. Bare det ikke giver bagtanker. Og trusler er uacceptabelt.",negative,0
"VALG 2019: Kære venner - Vores stærke demokrati skal nok si larmende provokatører fra af sig selv: Lad os bruge de næste tre uger på at diskutere det, der i virkeligheden er vigtigt for os selv og vores børn: Vores KLIMA og den grønne omstilling!",neutral,0
RT @USER: En frokost til 377 mio DKK #dkpol,neutral,0
"Prøver at forstå din pointe Daniel, men det giver simpelthen ingen mening i mit hoved. Bayern er et bedre hold end Dortmund, ja. City er et bedre hold end Liverpool, ja. Men ikke altid det bedste hold som vinder? Efter City vinder over Brighton i dag, så er de nr. 1 igen?",negative,0
"Overhørt på redaktionen i Borgens kælder:
»Jeg ville være en HELT ideel pensionist«.",positive,0
"Slam! 
1. Fattigdom er ikke en kreativ alternativ måde at leve på
2. Det er ikke et spændende Zen-øjeblik at være fattig
3. Fattigdom er ikke at have back-up
4. Fattigdom er ikke at have valg
5. Fattigdom er ikke at have muligheder
6. Fattigdom er ikke en personlighedsbrist",negative,0
I vil man afsætte 3 mia. til klimaforskning. Det er en god ide. Der er behov for flere midler tik forskning og udvikling for at finde vejen til klimaneutralitet i 2050 for dansk landbrug.,positive,0
"En status uden Paludan: Jeg vidste ikke, før jeg blev forælder, hvor kedeligt det er at planlægge sund mad dagligt. Så når nu børnene er hos bedsteforældrene bliver mit sunde &amp; næringsrige &amp; befriende aftensmåltid denne lørdag aften ... øl #ah #livetmedbørn",positive,0
Ligesom når siger at det var der ville have en omfartsvej i Mariager og han bare måtte sige ja for aftalens skyld🤷‍♂️Relativt høje priser I betaler,neutral,0
"Én mere tager bladet fra munden og taler om psykisk sygdom. Danmarks største sundhedsudfordring.
Tak! ⁦@USER⁩
#sundhedsreform #FV19 
⁦@USER⁩
⁦@USER⁩ ⁦@USER⁩",positive,0
"Tør du? Altså få en farve på væggen? 🖌
Det er der nemlig ikke mange, der tør kaste sig ud i, selvom det vil være godt for os, mener lokal boligindretter.
Læs hvorfor hun har den holdning.",positive,0
Barn smittet med mæslinger i københavnsområdet,neutral,0
Gravesens stop! Alt for tidligt,negative,0
Data fra mange tusinde kunder hos løbehjulsfirma er havnet på nettet,neutral,0
Undskyld!!!! Men... er den ikke bare for fed??? Det kamera får mig næsten til at skifte nu og her 😍😍,positive,0
Virgil Abloh (@USER) om at bevæge sig væk fra musik og mode for at fokusere på sit arbejde med Ikea – via,neutral,0
"عدد ألقاب ليفربول 
الله احفضنا ياودي من غيبوبة واحفظ حميع المسلمين",neutral,0
"Petter Andersson var fremragende. Ingen tvivl om det. Grunden til, at jeg ikke har ham med, er, at han var så pokkers meget skadet, og at Femi var fuldkommen suveræn i sin første periode i FCM 😀👍🏻",positive,0
Tysk vækst og stærke afgrøder skal sikre DLG rekordår i 2019,positive,0
"Leo Vegas, hvor en 42-årig kvinde forleden tabte en halv mio. kr. på et døgn, er i dag klar med endnu en ulovlig annonce leveret af Det er utroligt, at danske politikere bliver ved med at tro, at bookmakerne regulerer sig selv #Utopia #dkpol",negative,0
"Det er simpelthen sådan cirka en hel måned hvert år, gymnasieeleverne ikke dukker op til undervisningen. #dkpol #dkmedier 

[LINK]",negative,0
RT @USER: Altinget: magasin på gaden nu. Denne gang helt i hvidt. #dkpol #dkmedier,neutral,0
"Når det så er sagt, og konstateret, er alle højtider = konkurrencetid i den klassiske marketingtilgang. Alle tror, at alle vil have konkurrencer og så ender det med kaos og konkurrence om forbrugernes opmærksomhed og klik.",negative,0
På vej til Holstebro #samtaledag #Fremad #radikale #mereHanne,neutral,0
"Det er heldigvis også det rene vrøvl. Kun demokratiet, giver sejrherren det hele. Sådan virker markedet ikke.",negative,0
"Ja, alle er jo enige om, at forholdene for dyrene bare ikke er i orden - overhovedet. 
Så lad os dog handle efter det og ikke smide penge efter det når vi er ude at handle &lt;3",negative,0
Årsregnskab: Lukkede butikker koster dyrt for Coop,neutral,0
