Original,New,label,semantic_similarity,org_length,new_length,sentida_score_org,sentida_score_new
"Det kan jo slet ikke forslå. Men den regnemetode som Finansministeriet benytter skal du forvente at der skal forhøjes med yderligere kr. 225.000 oven i det som den enkelte skal have.
Det bliver megadyret og er vel grunden til at V ikke har fremlagt noget. #dkpol","Men at forslå, at Finansministeriets regnemetode skal ændres med yderligere kr. 225.000, er helt uforklarligt. Dette får muligvis følger, som V ikke har været villig til at fremvise. Det virker så, som om dette er årsagen til, at der ikke er blevet fremlagt noget endnu. #dkpol",negative,0.8653515,262,277,0.20370370370370364,0.13222222222222219
"Tidligere kunne fortælle, at en tysk burgerkæde er på vej, i sidste uge, at Garage Burger åbner i Fredericia og snart kan vi også se frem til en ny restaurant i det gamle Kims Køkken i Jyllandsgade 47.","I sidste uge kunne man se på Garage Burger som kommende, men i øjeblikket har tyske kæden åbnet en ny filial i Fredericia. Desuden kan vi også se frem til, at det gamle Kims Køkken i Jyllandsgade 47 snart vil blive genåben som en ny restauranstition.",neutral,0.85604876,201,250,0.36419753086419665,0.5123456790123445
"Nej. Og det er jeg også imod per princip. Man må heller ikke rende på Farum Park med et banner der står ""Free Brixtofte"" på. Jeg læste - måske mellem linjerne - som at at 'nedsættende' chants skal være forbudte. Og her kræver det altså lige noget omtanke. Der er ikke noget ..","Nej, jeg er enig med dig. Jeg modstår også principielt at tillade politiske udsagn eller udsagn der kan føre til social konflikt på vores begivenheder. Vi skal sikre at alle føler sig trygge og respekteret, uanset hvad de tror eller føler. Jeg forstår dine beslutninger, men vi skal være omsorgsfyldt når det gælder fristeler og tilladelser på vores område. Der er ikke noget ..",negative,0.45896232,276,378,-0.4656635802469136,0.37500000000000067
"Jeg synes faktisk, det sprogligt har været svært at lure, hvad man skulle kalde ham, hadprædikant er måske bedste bud, men mange har ønsket ‘racismedømt’ - det ville jeg også tøve ved, som redaktør, mest fordi der ikke er tradition for at bruge den type “titel”, så forstår (1/2)","Ægtevis har jeg været udfordret med at finde et passende udtryk til at beskrive ham. ""Haderprædikant"" kunne måske være en løsning, selvom det er lidt usædvanligt. Mange har foreslået ""rasismedømt"", men jeg har et forbistrende vidner til den tradition at anvende titlen i sådanne sammenhænge (2/2).
    ",negative,0.8596971,279,302,0.6722222222222223,0.3444444444444441
Den er faktisk lidt sjov. Hvem er homofobisk - den som råber det efter en anden eller den som opfatter det som noget negativt?,"Det er virkelig lidt spændende. Hvem er homofobisk - den, der skriger ordet efter en anden, eller den, der ser det som noget negative?",neutral,0.59373754,126,134,0.04000000000000066,-0.9044444444444428
Der kommer valg i den uge med to torsdage;,"I denne uge vil der være valg, men de vil find sted på to onsdagere.
    ",positive,0.838467,42,73,0.2777777777777776,0.5
Hvorfor synes og resten af folketinget at det er ok at fleksjobbere ikke skal have et ordentligt liv ? Se fx. DR I hus til halsen VII (4:8) #Udafhusoghjem #psykiskudmattelse Og vil ikke velfærd,"Åbenbarer antallet af foreslagsfritstæende personer og allefolkeligt stemmede i det danske folketings medlemmer, der tror at det er forstand at de ikke skal have et normal liv. Se fx DR I hus til halsen VII (4:8) #Udgangshusoghjem #psykiskudmattelse Og vil ikke velfærd",negative,0.63568723,193,269,0.1333333333333333,0.27833333333333365
"Jo tak. Jeg klarer mig nok. Er rimelig langt. Tror ikke du er interesseret i at lytte til eller forstå, hvad jeg reelt spurgte om, men dig om det.","Ja, jeg forstår din frustration. Det lyder som om du har vanskeligheder med noget og ønsker hjælp eller råd. Hvis du vil fortælle mig mere om din situation, er jeg klar til at lytte og se, hvordan jeg kan hjælpe dig.",negative,0.6325078,146,216,1.1870370370370373,0.3641975308641973
"Jeg tænker måske det er det første, at hun rent faktisk udtaler sig om det. 

Og så er hun måske bare synlig i den del af debatten, hvor den del desværre er en del af hverdagen.","Det kan være, at dette er første gang, hun udtaler sig om emnet. 

Måske er hun blot synlig i den del af debatten, hvor dette fornødentligt er en del af vores hverdag.",positive,0.90821755,177,167,0.06060606060605986,0.18518518518518504
"Der er både 👍 og 👎 i AFC West i vores draftanalyse 🏈

@USER kommer her med sin vurdering af holdenes valg i Nashville 💥 #nfldk #NFLDraft","Åbenbart finder jeg både styrker og svagheder blandt AFC West-holdene i vores draftanalyse. 🏈

Hvad er dine tanker om holdenes valg i Nashville, @USER? 🔥 #nfldk #NFLDraft",neutral,0.88038445,136,170,0.388888888888889,-0.07936507936508015
"Blog: Katastrofale mangler hos udenlandske læger, der skal behandle danskere. Syg politisk korrekthed er den skyldige.","Blog: Udenlandske læger, som skal behandle danskere, mangler ofte katastrofale kundskaber. Det politisk korrekthed ønsker at forhindre rigtige behandlinger er sandsynligvis den årsag.",negative,0.93057865,118,183,-1.015432098765432,0.03769841269841256
har simpelthen leveret den bedste 1 maj. Tale jeg har hørt længe! Bravo. Flere af dem! #dkpol #dkmedirr,"Det var en stor sejr for de, der støttede denne første maj. Helt præget af deres hårdt arbejde og dedikation. En stor taks til alle! #dkpol #dkmedirr",negative,0.6645063,103,149,0.7166666666666661,1.080808080808081
"Hvem er det nu, der ikke bryder sig om menneskerettigheder og som DFs Krarup er så glad for? #dkpol ⁦@USER⁩","Hvem tager nu imod, at de ikke tager menneskerettigheder i sig selv alvor og som Daniel Finks Krarup glæder sig til? #dkpol ⁦@USER⁩",negative,0.8680291,107,131,2.33333333333333,-0.1944444444444433
"RT @USER: Det er frostvejr her.
De kære forårsblomster Kan ikke lide det.
Det kan jeg heller ikke !
✨🌷","❄️Her er frostvejr, og det gør de kære forårsblomster vanskeligt at tåle. Jeg kan også ikke stille mig til søs her! 🌷✨",neutral,0.8174994,102,118,1.6308641975308664,-0.06666666666666332
Kommunen kiggede med på Kevins Netflix-forbrug: Politikere skal drøfte kontrolarbejdet,"Økonomiudvalget i kommunen vil diskutere kontroll af den nye trang kring streamning tjenester, specielt for brugen på Netflix, fordi der er bekymringer om, at forbruget kan føre til øget energiforbrug og økonomiske tab.
    ",neutral,0.64146936,86,224,-0.2777777777777776,-0.2746913580246917
"⛹ Der er i dag følgende antal #basketball kampe, der vises direkte:

📺 2 på TV
💻 0 via Live Stream
#TV #dksport #dkbold #nbadk #nba

🔗","⛹ I dag finder du følgende antal basketball-kampe, der bliver vist direkte:

📺 2 på tv
💻 0 via Live Stream
#TV #dksport #dkbold #nbadk #nba

<link>
    ",neutral,0.8079862,134,152,0.3851851851851835,0.6472222222222215
"Altså kernen: hende Amalie, som helt bevidst har benyttet sin populistiske magt til at lave shitstorm og gruppepres med henblik på at få en kunstner til at udøve selvcensur ?
Men eftertanke er altid godt. Bare det ikke giver bagtanker. Og trusler er uacceptabelt.","Øjeblikket er kernen: Amalie, der tydeligt har udnyttet sin populisme for at opbygge et oprør og et folkemindsk mod formålet at føre en kunstner til selvcensur? Men varme tanker er altid gode. Håb og frygt kan dog skabe tvivl. Og trusler er uacceptable.",negative,0.9168348,263,253,-0.09814814814814772,0.11296296296296293
"VALG 2019: Kære venner - Vores stærke demokrati skal nok si larmende provokatører fra af sig selv: Lad os bruge de næste tre uger på at diskutere det, der i virkeligheden er vigtigt for os selv og vores børn: Vores KLIMA og den grønne omstilling!","2019 VALG: Helligåndige venner - Vi skal sætte en stærk demokrati til prøve med at bruge de næste tre uger på at tale om, hvad der rigtig er vigtigt for os og vores børn: KLIMAet og den grønne omstilling.",neutral,0.9440283,246,204,0.9984848484848492,1.2194444444444446
RT @USER: En frokost til 377 mio DKK #dkpol,En frokost på en hundredekants set price af 377 millioner kroner i forbindelse med politikken.,neutral,0.6737014,43,94,0,0.6249999999999992
"Hvor er det forfærdeligt at se det smukke Notre-Dame i flammer. Hvor er jeg glad for, at jeg nåede at besøge det smukke sted.",Ægte frygteligt at se den skønne Notre-Dame i flammer. Til gavn for mig var jeg glad for at have besøgt det smukke sted.,negative,0.96913034,125,120,1.999999999999999,1.8551587301587307
Man har vel lov at håbe.,"Det er naturligtvis en skæv lykkeønskning, men tørre bedemiddag på sandet er stadig en god idé.",negative,0.45915323,24,95,1.488888888888889,0.61111111111111
"Prøver at forstå din pointe Daniel, men det giver simpelthen ingen mening i mit hoved. Bayern er et bedre hold end Dortmund, ja. City er et bedre hold end Liverpool, ja. Men ikke altid det bedste hold som vinder? Efter City vinder over Brighton i dag, så er de nr. 1 igen?","Ændringen i topplaceringerne er baseret på resultaterne i kampe, Daniel. Dette betyder ikke nødvendigvis, at det bedste hold altid vinder. Bayern og Dortmund er begge gode hold, men Bayern har været mere succesfulde de seneste år. Liverpool og City er begge stærke hold, men City har vundet flere kampe i sæsonen og er derfor rangeret højere på tabellen.",negative,0.8464811,272,354,1.02991452991453,1.147435897435898
"Overhørt på redaktionen i Borgens kælder:
»Jeg ville være en HELT ideel pensionist«.","Øjeblikkelig på Borgens redaktion i kælderen:
""Jeg ville være en FULDENDY PENSIONIST""",positive,0.83694553,84,85,1.027777777777777,-0.111111111111111
"Slam! 
1. Fattigdom er ikke en kreativ alternativ måde at leve på
2. Det er ikke et spændende Zen-øjeblik at være fattig
3. Fattigdom er ikke at have back-up
4. Fattigdom er ikke at have valg
5. Fattigdom er ikke at have muligheder
6. Fattigdom er ikke en personlighedsbrist","1. At være fattig er ikke en kreativ måde at leve på
2. Det er ikke en opdagelse at være fattig er udfordrende
3. Fattigdom betyder ikke at have en reserveplan
4. Fattigdom betyder at have begrænset valg
5. Fattigdom betyder at have begrænset adgang til muligheder
6. Fattigdom er ikke et tegn på personlighedsbrist",negative,0.8830745,274,315,-2.194444444444447,-1.157986111111111
I vil man afsætte 3 mia. til klimaforskning. Det er en god ide. Der er behov for flere midler tik forskning og udvikling for at finde vejen til klimaneutralitet i 2050 for dansk landbrug.,"3 mia. kroner vil afsættes til klimaforskning, hvilket er en vigtig investering. Flere midler skal udlægge for at støtte forskning og udvikling, der skal føre landbruget mod klimaneutralitet i 2050.",positive,0.8455577,187,198,1.0595238095238082,0.961805555555555
"En status uden Paludan: Jeg vidste ikke, før jeg blev forælder, hvor kedeligt det er at planlægge sund mad dagligt. Så når nu børnene er hos bedsteforældrene bliver mit sunde &amp; næringsrige &amp; befriende aftensmåltid denne lørdag aften ... øl #ah #livetmedbørn","En status uden Paludan: Slet før jeg blev far og mor, var jeg ubevisst om det smukke ved at vælge sundt mad til dagen. Og da børnene er hos bedesteforældrene denne lørdag aften, vil mitt beherskkable smågildet have mere tange i former og forholder! Toast til øl #livetslillepåer",positive,0.8889963,265,278,0.41435185185185075,0.605555555555555
Ligesom når siger at det var der ville have en omfartsvej i Mariager og han bare måtte sige ja for aftalens skyld🤷‍♂️Relativt høje priser I betaler,"Ækvivalent med at sige, at der var planer om en omfartsvej i Mariager og han blot måtte sige ja for at acceptere aftalen. Priserne er nok lidt høje",neutral,0.85274726,147,147,0.5873015873015873,0.758024691358025
"Ny regering må ændre skattepolitikken. Ikke overraskende viser analyse af indkomstskattelettelser i perioden 2002-2017, at de største lettelser er gået til de rigeste, målt relativt. Samtidig flere fattige børn og social ulighed. #dkpol #ulighed #OgDetErDK","En nyt regering skal ændre skattepolitikken. Analyser af indkomstskattegrader fra 2002 til 2017 viser, at de største lettelser er gået til de rigeste, målt relativt. Samtidig har fattige børn og social ulighed været på stigning. #dkpol #ulighed #OgDetErDK",negative,0.98111945,256,255,-0.15648148148148153,0.11666666666666631
"Én mere tager bladet fra munden og taler om psykisk sygdom. Danmarks største sundhedsudfordring.
Tak! ⁦@USER⁩
#sundhedsreform #FV19 
⁦@USER⁩
⁦@USER⁩ ⁦@USER⁩","Ændringen, der gennemføres, tager emneet fra munden og diskuterer psykiske sygdomme. Danmarks største sundhedsudfordring.
Tak for dit svar! ",positive,0.76125693,156,140,-0.574074074074074,-0.29629629629629584
"Mandag eftermiddag holdt F.C. København pressemøde om, at William Kvist nu er indstillet til en bestyrelsespost i Parken Sport &amp; Entertainment. Hør hele pressemødet med William, Ståle og Bo Rygaard i denne podcast! #fcklive 
[LINK]","20:30 mandag eftermiddag afholdt F.C. København et pressemøde, hvor de meddelte, at William Kvist nu er tæt på at blive udpeget til en bestyrelsespost i Parken Sport &amp; Entertainment. Hør hele pressemødet med William, Ståle og Bo Rygaard i denne podcast! #fcklive
[LINK]",neutral,0.95919955,235,273,0.35185185185185197,0.4043209876543212
"Tør du? Altså få en farve på væggen? 🖌
Det er der nemlig ikke mange, der tør kaste sig ud i, selvom det vil være godt for os, mener lokal boligindretter.
Læs hvorfor hun har den holdning.","Ønsker du at give din husværks indretning en skuff? Ja, der er kun få som dare toge det første skridt. Men hvis du giver det en gang, vil du sandsynligvis ønske at have gjort det tidligere, siger lokal boligrådgiver. Læs mere om årsagerne til denne holdning.",positive,0.54997104,187,258,0.5873015873015882,0.4791666666666663
Barn smittet med mæslinger i københavnsområdet,Ældre beretning om smittede barn med mæslinger i København,neutral,0.91571116,46,58,-0.75,0.5
"Klart - nu skal der glattes ud. Spin fra klubbens side. Se hele scenariet igen. Der var ingenting at misforstå i kommunikationen fra Kepa om, at han var klar igen.","Det er forståeligt, at der er uenigheder i forbindelse med denne sags behandling. Der har været uheldige forhold, og vi skal arbejde sammen for at finde en løsning, der virker for alle parter. Det er vigtigt at huske, at kommunikationen mellem alle parter er afgørende for resultatet.",negative,0.23827326,163,284,-0.08641975308642014,0.4511111111111115
